dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 20
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_True_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_4096_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_refinement_True
saver_name_pre: wasserstein_vq_refinement_True_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/20] Iters:[10/20018] gen_loss -0.6521, rec_loss 0.0235, lpips_loss 0.1786, g_loss -0.1730, disc_weight 0.5000, disc_adaptive_weight 4.8082, d_loss 2.4845, logits_real 0.1403, logits_fake 0.1756,
Train Epoch: [1/20] Iters:[5220/20018] gen_loss 0.1460, rec_loss 0.0274, lpips_loss 0.1780, g_loss -0.0218, disc_weight 0.5000, disc_adaptive_weight 2.7280, d_loss 0.5019, logits_real 0.0213, logits_fake 0.0217,
Train Epoch: [1/20] Iters:[5230/20018] gen_loss 0.1458, rec_loss 0.0271, lpips_loss 0.1788, g_loss -0.0219, disc_weight 0.5000, disc_adaptive_weight 2.7504, d_loss 0.5019, logits_real 0.0214, logits_fake 0.0217,
Train Epoch: [1/20] Iters:[5240/20018] gen_loss 0.1475, rec_loss 0.0269, lpips_loss 0.1785, g_loss -0.0220, disc_weight 0.5000, disc_adaptive_weight 2.6453, d_loss 0.5019, logits_real 0.0213, logits_fake 0.0217,
Train Epoch: [1/20] Iters:[5250/20018] gen_loss 0.1497, rec_loss 0.0273, lpips_loss 0.1800, g_loss -0.0219, disc_weight 0.5000, disc_adaptive_weight 2.6385, d_loss 0.5018, logits_real 0.0215, logits_fake 0.0217,
Train Epoch: [1/20] Iters:[5260/20018] gen_loss 0.1498, rec_loss 0.0277, lpips_loss 0.1796, g_loss -0.0217, disc_weight 0.5000, disc_adaptive_weight 2.6620, d_loss 0.5018, logits_real 0.0215, logits_fake 0.0216,
Train Epoch: [1/20] Iters:[5270/20018] gen_loss 0.1510, rec_loss 0.0280, lpips_loss 0.1806, g_loss -0.0215, disc_weight 0.5000, disc_adaptive_weight 2.6822, d_loss 0.5018, logits_real 0.0214, logits_fake 0.0214,
Train Epoch: [1/20] Iters:[5280/20018] gen_loss 0.1495, rec_loss 0.0278, lpips_loss 0.1801, g_loss -0.0215, disc_weight 0.5000, disc_adaptive_weight 2.7238, d_loss 0.5018, logits_real 0.0211, logits_fake 0.0213,
Train Epoch: [1/20] Iters:[5290/20018] gen_loss 0.1491, rec_loss 0.0278, lpips_loss 0.1806, g_loss -0.0214, disc_weight 0.5000, disc_adaptive_weight 2.7795, d_loss 0.5019, logits_real 0.0212, logits_fake 0.0215,
Train Epoch: [1/20] Iters:[5300/20018] gen_loss 0.1486, rec_loss 0.0276, lpips_loss 0.1803, g_loss -0.0210, disc_weight 0.5000, disc_adaptive_weight 2.8256, d_loss 0.5019, logits_real 0.0207, logits_fake 0.0211,
Train Epoch: [1/20] Iters:[5310/20018] gen_loss 0.1478, rec_loss 0.0270, lpips_loss 0.1803, g_loss -0.0208, disc_weight 0.5000, disc_adaptive_weight 2.8644, d_loss 0.5019, logits_real 0.0205, logits_fake 0.0208,
Train Epoch: [1/20] Iters:[5320/20018] gen_loss 0.1474, rec_loss 0.0262, lpips_loss 0.1795, g_loss -0.0206, disc_weight 0.5000, disc_adaptive_weight 2.8347, d_loss 0.5019, logits_real 0.0203, logits_fake 0.0206,
Train Epoch: [1/20] Iters:[5330/20018] gen_loss 0.1492, rec_loss 0.0262, lpips_loss 0.1795, g_loss -0.0204, disc_weight 0.5000, disc_adaptive_weight 2.7874, d_loss 0.5018, logits_real 0.0204, logits_fake 0.0204,
Train Epoch: [1/20] Iters:[5340/20018] gen_loss 0.1506, rec_loss 0.0268, lpips_loss 0.1794, g_loss -0.0202, disc_weight 0.5000, disc_adaptive_weight 2.7635, d_loss 0.5017, logits_real 0.0201, logits_fake 0.0202,
Train Epoch: [1/20] Iters:[5350/20018] gen_loss 0.1514, rec_loss 0.0270, lpips_loss 0.1795, g_loss -0.0203, disc_weight 0.5000, disc_adaptive_weight 2.7270, d_loss 0.5017, logits_real 0.0203, logits_fake 0.0203,
Train Epoch: [1/20] Iters:[5360/20018] gen_loss 0.1535, rec_loss 0.0276, lpips_loss 0.1798, g_loss -0.0204, disc_weight 0.5000, disc_adaptive_weight 2.6536, d_loss 0.5017, logits_real 0.0204, logits_fake 0.0205,
Train Epoch: [1/20] Iters:[5370/20018] gen_loss 0.1529, rec_loss 0.0278, lpips_loss 0.1792, g_loss -0.0203, disc_weight 0.5000, disc_adaptive_weight 2.6542, d_loss 0.5018, logits_real 0.0203, logits_fake 0.0206,
Train Epoch: [1/20] Iters:[5380/20018] gen_loss 0.1538, rec_loss 0.0280, lpips_loss 0.1792, g_loss -0.0204, disc_weight 0.5000, disc_adaptive_weight 2.6136, d_loss 0.5018, logits_real 0.0203, logits_fake 0.0207,
Train Epoch: [1/20] Iters:[5390/20018] gen_loss 0.1526, rec_loss 0.0273, lpips_loss 0.1777, g_loss -0.0203, disc_weight 0.5000, disc_adaptive_weight 2.5781, d_loss 0.5018, logits_real 0.0201, logits_fake 0.0205,
Train Epoch: [1/20] Iters:[5400/20018] gen_loss 0.1525, rec_loss 0.0268, lpips_loss 0.1776, g_loss -0.0202, disc_weight 0.5000, disc_adaptive_weight 2.5614, d_loss 0.5018, logits_real 0.0198, logits_fake 0.0203,
Train Epoch: [1/20] Iters:[5410/20018] gen_loss 0.1546, rec_loss 0.0269, lpips_loss 0.1776, g_loss -0.0202, disc_weight 0.5000, disc_adaptive_weight 2.4724, d_loss 0.5018, logits_real 0.0197, logits_fake 0.0201,
Train Epoch: [1/20] Iters:[5420/20018] gen_loss 0.1537, rec_loss 0.0269, lpips_loss 0.1774, g_loss -0.0204, disc_weight 0.5000, disc_adaptive_weight 2.4890, d_loss 0.5018, logits_real 0.0199, logits_fake 0.0203,
Train Epoch: [1/20] Iters:[5430/20018] gen_loss 0.1536, rec_loss 0.0269, lpips_loss 0.1781, g_loss -0.0205, disc_weight 0.5000, disc_adaptive_weight 2.5082, d_loss 0.5017, logits_real 0.0200, logits_fake 0.0202,
Train Epoch: [1/20] Iters:[5440/20018] gen_loss 0.1542, rec_loss 0.0272, lpips_loss 0.1793, g_loss -0.0204, disc_weight 0.5000, disc_adaptive_weight 2.5576, d_loss 0.5017, logits_real 0.0202, logits_fake 0.0203,
Train Epoch: [1/20] Iters:[5450/20018] gen_loss 0.1553, rec_loss 0.0274, lpips_loss 0.1788, g_loss -0.0203, disc_weight 0.5000, disc_adaptive_weight 2.5058, d_loss 0.5017, logits_real 0.0201, logits_fake 0.0201,
Train Epoch: [1/20] Iters:[5460/20018] gen_loss 0.1553, rec_loss 0.0270, lpips_loss 0.1797, g_loss -0.0200, disc_weight 0.5000, disc_adaptive_weight 2.5681, d_loss 0.5017, logits_real 0.0200, logits_fake 0.0199,
Train Epoch: [1/20] Iters:[5470/20018] gen_loss 0.1565, rec_loss 0.0272, lpips_loss 0.1804, g_loss -0.0196, disc_weight 0.5000, disc_adaptive_weight 2.5967, d_loss 0.5017, logits_real 0.0197, logits_fake 0.0196,
Train Epoch: [1/20] Iters:[5480/20018] gen_loss 0.1552, rec_loss 0.0271, lpips_loss 0.1801, g_loss -0.0193, disc_weight 0.5000, disc_adaptive_weight 2.6873, d_loss 0.5017, logits_real 0.0193, logits_fake 0.0193,
Train Epoch: [1/20] Iters:[5490/20018] gen_loss 0.1558, rec_loss 0.0273, lpips_loss 0.1808, g_loss -0.0194, disc_weight 0.5000, disc_adaptive_weight 2.6978, d_loss 0.5017, logits_real 0.0192, logits_fake 0.0194,
Train Epoch: [1/20] Iters:[5500/20018] gen_loss 0.1535, rec_loss 0.0278, lpips_loss 0.1820, g_loss -0.0196, disc_weight 0.5000, disc_adaptive_weight 2.8634, d_loss 0.5017, logits_real 0.0195, logits_fake 0.0196,
Train Epoch: [1/20] Iters:[5510/20018] gen_loss 0.1542, rec_loss 0.0287, lpips_loss 0.1825, g_loss -0.0198, disc_weight 0.5000, disc_adaptive_weight 2.8805, d_loss 0.5017, logits_real 0.0196, logits_fake 0.0197,
Train Epoch: [1/20] Iters:[5520/20018] gen_loss 0.1538, rec_loss 0.0287, lpips_loss 0.1822, g_loss -0.0199, disc_weight 0.5000, disc_adaptive_weight 2.8690, d_loss 0.5017, logits_real 0.0196, logits_fake 0.0199,
Train Epoch: [1/20] Iters:[5530/20018] gen_loss 0.1545, rec_loss 0.0283, lpips_loss 0.1812, g_loss -0.0198, disc_weight 0.5000, disc_adaptive_weight 2.7650, d_loss 0.5017, logits_real 0.0196, logits_fake 0.0198,
Train Epoch: [1/20] Iters:[5540/20018] gen_loss 0.1555, rec_loss 0.0280, lpips_loss 0.1802, g_loss -0.0196, disc_weight 0.5000, disc_adaptive_weight 2.6784, d_loss 0.5017, logits_real 0.0192, logits_fake 0.0196,
Train Epoch: [1/20] Iters:[5550/20018] gen_loss 0.1590, rec_loss 0.0275, lpips_loss 0.1800, g_loss -0.0193, disc_weight 0.5000, disc_adaptive_weight 2.5151, d_loss 0.5017, logits_real 0.0189, logits_fake 0.0194,
Train Epoch: [1/20] Iters:[5560/20018] gen_loss 0.1542, rec_loss 0.0260, lpips_loss 0.1768, g_loss -0.0191, disc_weight 0.5000, disc_adaptive_weight 2.5633, d_loss 0.5017, logits_real 0.0188, logits_fake 0.0193,
Train Epoch: [1/20] Iters:[5570/20018] gen_loss 0.1548, rec_loss 0.0262, lpips_loss 0.1765, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 2.5551, d_loss 0.5017, logits_real 0.0188, logits_fake 0.0192,
Train Epoch: [1/20] Iters:[5580/20018] gen_loss 0.1562, rec_loss 0.0267, lpips_loss 0.1773, g_loss -0.0187, disc_weight 0.5000, disc_adaptive_weight 2.5687, d_loss 0.5018, logits_real 0.0187, logits_fake 0.0191,
Train Epoch: [1/20] Iters:[5590/20018] gen_loss 0.1561, rec_loss 0.0271, lpips_loss 0.1785, g_loss -0.0187, disc_weight 0.5000, disc_adaptive_weight 2.6665, d_loss 0.5017, logits_real 0.0188, logits_fake 0.0190,
Train Epoch: [1/20] Iters:[5600/20018] gen_loss 0.1552, rec_loss 0.0272, lpips_loss 0.1777, g_loss -0.0185, disc_weight 0.5000, disc_adaptive_weight 2.7033, d_loss 0.5017, logits_real 0.0185, logits_fake 0.0186,
Train Epoch: [1/20] Iters:[5610/20018] gen_loss 0.1604, rec_loss 0.0284, lpips_loss 0.1806, g_loss -0.0186, disc_weight 0.5000, disc_adaptive_weight 2.6214, d_loss 0.5017, logits_real 0.0185, logits_fake 0.0185,
Train Epoch: [1/20] Iters:[5620/20018] gen_loss 0.1611, rec_loss 0.0282, lpips_loss 0.1808, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 2.6159, d_loss 0.5017, logits_real 0.0182, logits_fake 0.0182,
Train Epoch: [1/20] Iters:[5630/20018] gen_loss 0.1607, rec_loss 0.0281, lpips_loss 0.1803, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 2.6143, d_loss 0.5017, logits_real 0.0182, logits_fake 0.0182,
Train Epoch: [1/20] Iters:[5640/20018] gen_loss 0.1600, rec_loss 0.0281, lpips_loss 0.1795, g_loss -0.0182, disc_weight 0.5000, disc_adaptive_weight 2.6257, d_loss 0.5017, logits_real 0.0181, logits_fake 0.0183,
Train Epoch: [1/20] Iters:[5650/20018] gen_loss 0.1597, rec_loss 0.0279, lpips_loss 0.1795, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 2.6126, d_loss 0.5017, logits_real 0.0182, logits_fake 0.0184,
Train Epoch: [1/20] Iters:[5660/20018] gen_loss 0.1573, rec_loss 0.0275, lpips_loss 0.1781, g_loss -0.0182, disc_weight 0.5000, disc_adaptive_weight 2.6600, d_loss 0.5017, logits_real 0.0183, logits_fake 0.0183,
Train Epoch: [1/20] Iters:[5670/20018] gen_loss 0.1547, rec_loss 0.0274, lpips_loss 0.1782, g_loss -0.0186, disc_weight 0.5000, disc_adaptive_weight 2.7548, d_loss 0.5016, logits_real 0.0186, logits_fake 0.0186,
Train Epoch: [1/20] Iters:[5680/20018] gen_loss 0.1543, rec_loss 0.0274, lpips_loss 0.1783, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 2.7409, d_loss 0.5016, logits_real 0.0189, logits_fake 0.0188,
Train Epoch: [1/20] Iters:[5690/20018] gen_loss 0.1518, rec_loss 0.0271, lpips_loss 0.1785, g_loss -0.0190, disc_weight 0.5000, disc_adaptive_weight 2.8351, d_loss 0.5016, logits_real 0.0191, logits_fake 0.0190,
Train Epoch: [1/20] Iters:[5700/20018] gen_loss 0.1491, rec_loss 0.0269, lpips_loss 0.1787, g_loss -0.0193, disc_weight 0.5000, disc_adaptive_weight 2.9392, d_loss 0.5016, logits_real 0.0192, logits_fake 0.0193,
Train Epoch: [1/20] Iters:[5710/20018] gen_loss 0.1495, rec_loss 0.0270, lpips_loss 0.1799, g_loss -0.0194, disc_weight 0.5000, disc_adaptive_weight 2.9792, d_loss 0.5017, logits_real 0.0192, logits_fake 0.0196,
Train Epoch: [1/20] Iters:[5720/20018] gen_loss 0.1510, rec_loss 0.0274, lpips_loss 0.1807, g_loss -0.0194, disc_weight 0.5000, disc_adaptive_weight 2.9503, d_loss 0.5017, logits_real 0.0193, logits_fake 0.0197,
Train Epoch: [1/20] Iters:[5730/20018] gen_loss 0.1503, rec_loss 0.0276, lpips_loss 0.1802, g_loss -0.0197, disc_weight 0.5000, disc_adaptive_weight 2.9337, d_loss 0.5017, logits_real 0.0193, logits_fake 0.0200,
Train Epoch: [1/20] Iters:[5740/20018] gen_loss 0.1512, rec_loss 0.0275, lpips_loss 0.1792, g_loss -0.0197, disc_weight 0.5000, disc_adaptive_weight 2.8199, d_loss 0.5018, logits_real 0.0192, logits_fake 0.0199,
Train Epoch: [1/20] Iters:[5750/20018] gen_loss 0.1534, rec_loss 0.0280, lpips_loss 0.1787, g_loss -0.0196, disc_weight 0.5000, disc_adaptive_weight 2.7244, d_loss 0.5017, logits_real 0.0191, logits_fake 0.0197,
Train Epoch: [1/20] Iters:[5760/20018] gen_loss 0.1546, rec_loss 0.0282, lpips_loss 0.1781, g_loss -0.0198, disc_weight 0.5000, disc_adaptive_weight 2.6122, d_loss 0.5017, logits_real 0.0192, logits_fake 0.0198,
Train Epoch: [1/20] Iters:[5770/20018] gen_loss 0.1537, rec_loss 0.0277, lpips_loss 0.1775, g_loss -0.0197, disc_weight 0.5000, disc_adaptive_weight 2.6231, d_loss 0.5018, logits_real 0.0190, logits_fake 0.0197,
Train Epoch: [1/20] Iters:[5780/20018] gen_loss 0.1535, rec_loss 0.0279, lpips_loss 0.1790, g_loss -0.0194, disc_weight 0.5000, disc_adaptive_weight 2.7597, d_loss 0.5017, logits_real 0.0190, logits_fake 0.0195,
Train Epoch: [1/20] Iters:[5790/20018] gen_loss 0.1529, rec_loss 0.0279, lpips_loss 0.1799, g_loss -0.0192, disc_weight 0.5000, disc_adaptive_weight 2.8574, d_loss 0.5017, logits_real 0.0188, logits_fake 0.0195,
Train Epoch: [1/20] Iters:[5800/20018] gen_loss 0.1525, rec_loss 0.0278, lpips_loss 0.1804, g_loss -0.0192, disc_weight 0.5000, disc_adaptive_weight 2.9071, d_loss 0.5017, logits_real 0.0188, logits_fake 0.0194,
Train Epoch: [1/20] Iters:[5810/20018] gen_loss 0.1504, rec_loss 0.0273, lpips_loss 0.1801, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 3.0253, d_loss 0.5017, logits_real 0.0184, logits_fake 0.0190,
Train Epoch: [1/20] Iters:[5820/20018] gen_loss 0.1531, rec_loss 0.0275, lpips_loss 0.1798, g_loss -0.0186, disc_weight 0.5000, disc_adaptive_weight 2.9138, d_loss 0.5017, logits_real 0.0181, logits_fake 0.0187,
Train Epoch: [1/20] Iters:[5830/20018] gen_loss 0.1555, rec_loss 0.0274, lpips_loss 0.1791, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 2.7789, d_loss 0.5017, logits_real 0.0177, logits_fake 0.0184,
Train Epoch: [1/20] Iters:[5840/20018] gen_loss 0.1583, rec_loss 0.0274, lpips_loss 0.1791, g_loss -0.0180, disc_weight 0.5000, disc_adaptive_weight 2.6749, d_loss 0.5017, logits_real 0.0174, logits_fake 0.0179,
Train Epoch: [1/20] Iters:[5850/20018] gen_loss 0.1614, rec_loss 0.0273, lpips_loss 0.1800, g_loss -0.0177, disc_weight 0.5000, disc_adaptive_weight 2.5857, d_loss 0.5016, logits_real 0.0173, logits_fake 0.0175,
Train Epoch: [1/20] Iters:[5860/20018] gen_loss 0.1636, rec_loss 0.0273, lpips_loss 0.1799, g_loss -0.0175, disc_weight 0.5000, disc_adaptive_weight 2.5050, d_loss 0.5015, logits_real 0.0172, logits_fake 0.0173,
Train Epoch: [1/20] Iters:[5870/20018] gen_loss 0.1630, rec_loss 0.0273, lpips_loss 0.1808, g_loss -0.0174, disc_weight 0.5000, disc_adaptive_weight 2.6048, d_loss 0.5015, logits_real 0.0172, logits_fake 0.0172,
Train Epoch: [1/20] Iters:[5880/20018] gen_loss 0.1607, rec_loss 0.0273, lpips_loss 0.1806, g_loss -0.0175, disc_weight 0.5000, disc_adaptive_weight 2.7058, d_loss 0.5015, logits_real 0.0173, logits_fake 0.0172,
Train Epoch: [1/20] Iters:[5890/20018] gen_loss 0.1607, rec_loss 0.0274, lpips_loss 0.1809, g_loss -0.0176, disc_weight 0.5000, disc_adaptive_weight 2.7033, d_loss 0.5015, logits_real 0.0176, logits_fake 0.0174,
Train Epoch: [1/20] Iters:[5900/20018] gen_loss 0.1578, rec_loss 0.0273, lpips_loss 0.1803, g_loss -0.0175, disc_weight 0.5000, disc_adaptive_weight 2.8504, d_loss 0.5016, logits_real 0.0173, logits_fake 0.0175,
Train Epoch: [1/20] Iters:[5910/20018] gen_loss 0.1576, rec_loss 0.0277, lpips_loss 0.1813, g_loss -0.0176, disc_weight 0.5000, disc_adaptive_weight 2.9300, d_loss 0.5016, logits_real 0.0173, logits_fake 0.0175,
Train Epoch: [1/20] Iters:[5920/20018] gen_loss 0.1568, rec_loss 0.0278, lpips_loss 0.1815, g_loss -0.0177, disc_weight 0.5000, disc_adaptive_weight 2.9755, d_loss 0.5016, logits_real 0.0173, logits_fake 0.0176,
Train Epoch: [1/20] Iters:[5930/20018] gen_loss 0.1583, rec_loss 0.0274, lpips_loss 0.1812, g_loss -0.0172, disc_weight 0.5000, disc_adaptive_weight 2.9236, d_loss 0.5016, logits_real 0.0170, logits_fake 0.0171,
Train Epoch: [1/20] Iters:[5940/20018] gen_loss 0.1603, rec_loss 0.0281, lpips_loss 0.1821, g_loss -0.0168, disc_weight 0.5000, disc_adaptive_weight 2.9795, d_loss 0.5015, logits_real 0.0166, logits_fake 0.0166,
Train Epoch: [1/20] Iters:[5950/20018] gen_loss 0.1625, rec_loss 0.0279, lpips_loss 0.1816, g_loss -0.0162, disc_weight 0.5000, disc_adaptive_weight 2.9067, d_loss 0.5015, logits_real 0.0162, logits_fake 0.0160,
Train Epoch: [1/20] Iters:[5960/20018] gen_loss 0.1639, rec_loss 0.0277, lpips_loss 0.1807, g_loss -0.0159, disc_weight 0.5000, disc_adaptive_weight 2.8111, d_loss 0.5015, logits_real 0.0158, logits_fake 0.0158,
Train Epoch: [1/20] Iters:[5970/20018] gen_loss 0.1669, rec_loss 0.0276, lpips_loss 0.1804, g_loss -0.0155, disc_weight 0.5000, disc_adaptive_weight 2.6843, d_loss 0.5015, logits_real 0.0155, logits_fake 0.0153,
Train Epoch: [1/20] Iters:[5980/20018] gen_loss 0.1682, rec_loss 0.0279, lpips_loss 0.1807, g_loss -0.0155, disc_weight 0.5000, disc_adaptive_weight 2.6241, d_loss 0.5016, logits_real 0.0154, logits_fake 0.0156,
Train Epoch: [1/20] Iters:[5990/20018] gen_loss 0.1671, rec_loss 0.0273, lpips_loss 0.1800, g_loss -0.0157, disc_weight 0.5000, disc_adaptive_weight 2.5786, d_loss 0.5016, logits_real 0.0156, logits_fake 0.0159,
Train Epoch: [1/20] Iters:[6000/20018] gen_loss 0.1638, rec_loss 0.0272, lpips_loss 0.1797, g_loss -0.0162, disc_weight 0.5000, disc_adaptive_weight 2.6758, d_loss 0.5016, logits_real 0.0158, logits_fake 0.0163,
Train Epoch: [1/20] Iters:[6010/20018] gen_loss 0.1619, rec_loss 0.0269, lpips_loss 0.1790, g_loss -0.0164, disc_weight 0.5000, disc_adaptive_weight 2.6979, d_loss 0.5016, logits_real 0.0161, logits_fake 0.0165,
Train Epoch: [1/20] Iters:[6020/20018] gen_loss 0.1595, rec_loss 0.0268, lpips_loss 0.1781, g_loss -0.0166, disc_weight 0.5000, disc_adaptive_weight 2.7542, d_loss 0.5016, logits_real 0.0160, logits_fake 0.0166,
Train Epoch: [1/20] Iters:[6030/20018] gen_loss 0.1569, rec_loss 0.0269, lpips_loss 0.1777, g_loss -0.0168, disc_weight 0.5000, disc_adaptive_weight 2.8469, d_loss 0.5016, logits_real 0.0163, logits_fake 0.0168,
Train Epoch: [1/20] Iters:[6040/20018] gen_loss 0.1560, rec_loss 0.0268, lpips_loss 0.1773, g_loss -0.0169, disc_weight 0.5000, disc_adaptive_weight 2.8643, d_loss 0.5016, logits_real 0.0163, logits_fake 0.0169,
Train Epoch: [1/20] Iters:[6050/20018] gen_loss 0.1596, rec_loss 0.0274, lpips_loss 0.1784, g_loss -0.0170, disc_weight 0.5000, disc_adaptive_weight 2.7140, d_loss 0.5016, logits_real 0.0166, logits_fake 0.0171,
Train Epoch: [1/20] Iters:[6060/20018] gen_loss 0.1608, rec_loss 0.0280, lpips_loss 0.1791, g_loss -0.0175, disc_weight 0.5000, disc_adaptive_weight 2.6593, d_loss 0.5016, logits_real 0.0171, logits_fake 0.0176,
Train Epoch: [1/20] Iters:[6070/20018] gen_loss 0.1608, rec_loss 0.0280, lpips_loss 0.1797, g_loss -0.0181, disc_weight 0.5000, disc_adaptive_weight 2.5959, d_loss 0.5017, logits_real 0.0178, logits_fake 0.0183,
Train Epoch: [1/20] Iters:[6080/20018] gen_loss 0.1607, rec_loss 0.0279, lpips_loss 0.1801, g_loss -0.0184, disc_weight 0.5000, disc_adaptive_weight 2.5730, d_loss 0.5016, logits_real 0.0183, logits_fake 0.0185,
Train Epoch: [1/20] Iters:[6090/20018] gen_loss 0.1595, rec_loss 0.0276, lpips_loss 0.1790, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 2.4842, d_loss 0.5016, logits_real 0.0186, logits_fake 0.0188,
Train Epoch: [1/20] Iters:[6100/20018] gen_loss 0.1568, rec_loss 0.0268, lpips_loss 0.1778, g_loss -0.0190, disc_weight 0.5000, disc_adaptive_weight 2.5072, d_loss 0.5015, logits_real 0.0187, logits_fake 0.0189,
Train Epoch: [1/20] Iters:[6110/20018] gen_loss 0.1563, rec_loss 0.0266, lpips_loss 0.1784, g_loss -0.0189, disc_weight 0.5000, disc_adaptive_weight 2.5808, d_loss 0.5015, logits_real 0.0186, logits_fake 0.0188,
Train Epoch: [1/20] Iters:[6120/20018] gen_loss 0.1538, rec_loss 0.0264, lpips_loss 0.1775, g_loss -0.0185, disc_weight 0.5000, disc_adaptive_weight 2.7153, d_loss 0.5015, logits_real 0.0182, logits_fake 0.0185,
Train Epoch: [1/20] Iters:[6130/20018] gen_loss 0.1540, rec_loss 0.0262, lpips_loss 0.1772, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 2.7157, d_loss 0.5016, logits_real 0.0178, logits_fake 0.0182,
Train Epoch: [1/20] Iters:[6140/20018] gen_loss 0.1557, rec_loss 0.0265, lpips_loss 0.1786, g_loss -0.0178, disc_weight 0.5000, disc_adaptive_weight 2.7768, d_loss 0.5016, logits_real 0.0174, logits_fake 0.0179,
Train Epoch: [1/20] Iters:[6150/20018] gen_loss 0.1577, rec_loss 0.0272, lpips_loss 0.1794, g_loss -0.0176, disc_weight 0.5000, disc_adaptive_weight 2.7700, d_loss 0.5016, logits_real 0.0171, logits_fake 0.0177,
Train Epoch: [1/20] Iters:[6160/20018] gen_loss 0.1578, rec_loss 0.0273, lpips_loss 0.1786, g_loss -0.0174, disc_weight 0.5000, disc_adaptive_weight 2.7626, d_loss 0.5016, logits_real 0.0169, logits_fake 0.0175,
Train Epoch: [1/20] Iters:[6170/20018] gen_loss 0.1604, rec_loss 0.0273, lpips_loss 0.1795, g_loss -0.0174, disc_weight 0.5000, disc_adaptive_weight 2.6533, d_loss 0.5015, logits_real 0.0170, logits_fake 0.0174,
Train Epoch: [1/20] Iters:[6180/20018] gen_loss 0.1605, rec_loss 0.0278, lpips_loss 0.1798, g_loss -0.0176, disc_weight 0.5000, disc_adaptive_weight 2.6719, d_loss 0.5015, logits_real 0.0173, logits_fake 0.0175,
Train Epoch: [1/20] Iters:[6190/20018] gen_loss 0.1595, rec_loss 0.0278, lpips_loss 0.1793, g_loss -0.0180, disc_weight 0.5000, disc_adaptive_weight 2.6477, d_loss 0.5015, logits_real 0.0175, logits_fake 0.0177,
Train Epoch: [1/20] Iters:[6200/20018] gen_loss 0.1580, rec_loss 0.0278, lpips_loss 0.1797, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 2.7127, d_loss 0.5014, logits_real 0.0180, logits_fake 0.0181,
Train Epoch: [1/20] Iters:[6210/20018] gen_loss 0.1571, rec_loss 0.0276, lpips_loss 0.1795, g_loss -0.0187, disc_weight 0.5000, disc_adaptive_weight 2.6835, d_loss 0.5014, logits_real 0.0183, logits_fake 0.0183,
