dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_True_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_4096_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_refinement_True_10
saver_name_pre: wasserstein_vq_refinement_True_10_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/10] Iters:[10/20018] gen_loss -0.8271, rec_loss 0.0235, lpips_loss 0.1791, g_loss -0.1784, disc_weight 0.5000, disc_adaptive_weight 5.5725, d_loss 2.4870, logits_real 0.1403, logits_fake 0.1815,
Train Epoch: [2/10] Iters:[10100/20018] gen_loss 0.1559, rec_loss 0.0298, lpips_loss 0.1834, g_loss -0.0190, disc_weight 0.5000, disc_adaptive_weight 3.0027, d_loss 0.5002, logits_real 0.0189, logits_fake 0.0186,
Train Epoch: [2/10] Iters:[10110/20018] gen_loss 0.1535, rec_loss 0.0296, lpips_loss 0.1815, g_loss -0.0191, disc_weight 0.5000, disc_adaptive_weight 3.0095, d_loss 0.5003, logits_real 0.0188, logits_fake 0.0188,
Train Epoch: [2/10] Iters:[10120/20018] gen_loss 0.1535, rec_loss 0.0294, lpips_loss 0.1812, g_loss -0.0191, disc_weight 0.5000, disc_adaptive_weight 2.9803, d_loss 0.5004, logits_real 0.0189, logits_fake 0.0190,
Train Epoch: [2/10] Iters:[10130/20018] gen_loss 0.1515, rec_loss 0.0289, lpips_loss 0.1797, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 3.0308, d_loss 0.5004, logits_real 0.0186, logits_fake 0.0189,
Train Epoch: [2/10] Iters:[10140/20018] gen_loss 0.1523, rec_loss 0.0285, lpips_loss 0.1787, g_loss -0.0187, disc_weight 0.5000, disc_adaptive_weight 2.9304, d_loss 0.5004, logits_real 0.0182, logits_fake 0.0185,
Train Epoch: [2/10] Iters:[10150/20018] gen_loss 0.1540, rec_loss 0.0287, lpips_loss 0.1786, g_loss -0.0186, disc_weight 0.5000, disc_adaptive_weight 2.8685, d_loss 0.5004, logits_real 0.0182, logits_fake 0.0185,
Train Epoch: [2/10] Iters:[10160/20018] gen_loss 0.1544, rec_loss 0.0284, lpips_loss 0.1779, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 2.8261, d_loss 0.5004, logits_real 0.0180, logits_fake 0.0182,
Train Epoch: [2/10] Iters:[10170/20018] gen_loss 0.1543, rec_loss 0.0284, lpips_loss 0.1784, g_loss -0.0184, disc_weight 0.5000, disc_adaptive_weight 2.8605, d_loss 0.5004, logits_real 0.0181, logits_fake 0.0184,
Train Epoch: [2/10] Iters:[10180/20018] gen_loss 0.1568, rec_loss 0.0291, lpips_loss 0.1801, g_loss -0.0185, disc_weight 0.5000, disc_adaptive_weight 2.8314, d_loss 0.5003, logits_real 0.0185, logits_fake 0.0185,
Train Epoch: [2/10] Iters:[10190/20018] gen_loss 0.1576, rec_loss 0.0296, lpips_loss 0.1812, g_loss -0.0186, disc_weight 0.5000, disc_adaptive_weight 2.8638, d_loss 0.5003, logits_real 0.0187, logits_fake 0.0188,
Train Epoch: [2/10] Iters:[10200/20018] gen_loss 0.1571, rec_loss 0.0296, lpips_loss 0.1808, g_loss -0.0186, disc_weight 0.5000, disc_adaptive_weight 2.8675, d_loss 0.5003, logits_real 0.0187, logits_fake 0.0188,
Train Epoch: [2/10] Iters:[10210/20018] gen_loss 0.1566, rec_loss 0.0297, lpips_loss 0.1812, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 2.9085, d_loss 0.5004, logits_real 0.0190, logits_fake 0.0191,
Train Epoch: [2/10] Iters:[10220/20018] gen_loss 0.1558, rec_loss 0.0298, lpips_loss 0.1804, g_loss -0.0187, disc_weight 0.5000, disc_adaptive_weight 2.9108, d_loss 0.5004, logits_real 0.0189, logits_fake 0.0190,
Train Epoch: [2/10] Iters:[10230/20018] gen_loss 0.1530, rec_loss 0.0293, lpips_loss 0.1790, g_loss -0.0189, disc_weight 0.5000, disc_adaptive_weight 2.9475, d_loss 0.5004, logits_real 0.0189, logits_fake 0.0193,
Train Epoch: [2/10] Iters:[10240/20018] gen_loss 0.1516, rec_loss 0.0290, lpips_loss 0.1789, g_loss -0.0190, disc_weight 0.5000, disc_adaptive_weight 2.9819, d_loss 0.5004, logits_real 0.0189, logits_fake 0.0192,
Train Epoch: [2/10] Iters:[10250/20018] gen_loss 0.1523, rec_loss 0.0297, lpips_loss 0.1805, g_loss -0.0193, disc_weight 0.5000, disc_adaptive_weight 3.0153, d_loss 0.5004, logits_real 0.0192, logits_fake 0.0195,
Train Epoch: [2/10] Iters:[10260/20018] gen_loss 0.1518, rec_loss 0.0295, lpips_loss 0.1809, g_loss -0.0195, disc_weight 0.5000, disc_adaptive_weight 3.0044, d_loss 0.5004, logits_real 0.0192, logits_fake 0.0195,
Train Epoch: [2/10] Iters:[10270/20018] gen_loss 0.1531, rec_loss 0.0304, lpips_loss 0.1823, g_loss -0.0200, disc_weight 0.5000, disc_adaptive_weight 2.9808, d_loss 0.5005, logits_real 0.0195, logits_fake 0.0200,
Train Epoch: [2/10] Iters:[10280/20018] gen_loss 0.1534, rec_loss 0.0306, lpips_loss 0.1829, g_loss -0.0203, disc_weight 0.5000, disc_adaptive_weight 2.9577, d_loss 0.5004, logits_real 0.0199, logits_fake 0.0202,
Train Epoch: [2/10] Iters:[10290/20018] gen_loss 0.1539, rec_loss 0.0309, lpips_loss 0.1829, g_loss -0.0205, disc_weight 0.5000, disc_adaptive_weight 2.9127, d_loss 0.5004, logits_real 0.0201, logits_fake 0.0204,
Train Epoch: [2/10] Iters:[10300/20018] gen_loss 0.1526, rec_loss 0.0303, lpips_loss 0.1812, g_loss -0.0205, disc_weight 0.5000, disc_adaptive_weight 2.8687, d_loss 0.5004, logits_real 0.0204, logits_fake 0.0205,
Train Epoch: [2/10] Iters:[10310/20018] gen_loss 0.1523, rec_loss 0.0302, lpips_loss 0.1807, g_loss -0.0204, disc_weight 0.5000, disc_adaptive_weight 2.8773, d_loss 0.5003, logits_real 0.0207, logits_fake 0.0207,
Train Epoch: [2/10] Iters:[10320/20018] gen_loss 0.1522, rec_loss 0.0292, lpips_loss 0.1797, g_loss -0.0200, disc_weight 0.5000, disc_adaptive_weight 2.8428, d_loss 0.5003, logits_real 0.0204, logits_fake 0.0202,
Train Epoch: [2/10] Iters:[10330/20018] gen_loss 0.1555, rec_loss 0.0293, lpips_loss 0.1801, g_loss -0.0194, disc_weight 0.5000, disc_adaptive_weight 2.7758, d_loss 0.5003, logits_real 0.0200, logits_fake 0.0198,
Train Epoch: [2/10] Iters:[10340/20018] gen_loss 0.1567, rec_loss 0.0291, lpips_loss 0.1793, g_loss -0.0189, disc_weight 0.5000, disc_adaptive_weight 2.7371, d_loss 0.5002, logits_real 0.0195, logits_fake 0.0191,
Train Epoch: [2/10] Iters:[10350/20018] gen_loss 0.1598, rec_loss 0.0294, lpips_loss 0.1803, g_loss -0.0182, disc_weight 0.5000, disc_adaptive_weight 2.7495, d_loss 0.5003, logits_real 0.0184, logits_fake 0.0185,
Train Epoch: [2/10] Iters:[10360/20018] gen_loss 0.1628, rec_loss 0.0297, lpips_loss 0.1808, g_loss -0.0176, disc_weight 0.5000, disc_adaptive_weight 2.7247, d_loss 0.5003, logits_real 0.0177, logits_fake 0.0176,
Train Epoch: [2/10] Iters:[10370/20018] gen_loss 0.1646, rec_loss 0.0300, lpips_loss 0.1813, g_loss -0.0171, disc_weight 0.5000, disc_adaptive_weight 2.7477, d_loss 0.5003, logits_real 0.0171, logits_fake 0.0172,
Train Epoch: [2/10] Iters:[10380/20018] gen_loss 0.1643, rec_loss 0.0302, lpips_loss 0.1814, g_loss -0.0165, disc_weight 0.5000, disc_adaptive_weight 2.8786, d_loss 0.5004, logits_real 0.0164, logits_fake 0.0167,
Train Epoch: [2/10] Iters:[10390/20018] gen_loss 0.1651, rec_loss 0.0303, lpips_loss 0.1824, g_loss -0.0165, disc_weight 0.5000, disc_adaptive_weight 2.8943, d_loss 0.5004, logits_real 0.0163, logits_fake 0.0167,
Train Epoch: [2/10] Iters:[10400/20018] gen_loss 0.1654, rec_loss 0.0299, lpips_loss 0.1824, g_loss -0.0164, disc_weight 0.5000, disc_adaptive_weight 2.8730, d_loss 0.5004, logits_real 0.0164, logits_fake 0.0166,
Train Epoch: [2/10] Iters:[10410/20018] gen_loss 0.1650, rec_loss 0.0296, lpips_loss 0.1830, g_loss -0.0167, disc_weight 0.5000, disc_adaptive_weight 2.8724, d_loss 0.5004, logits_real 0.0166, logits_fake 0.0167,
Train Epoch: [2/10] Iters:[10420/20018] gen_loss 0.1636, rec_loss 0.0294, lpips_loss 0.1819, g_loss -0.0168, disc_weight 0.5000, disc_adaptive_weight 2.8504, d_loss 0.5004, logits_real 0.0166, logits_fake 0.0168,
Train Epoch: [2/10] Iters:[10430/20018] gen_loss 0.1620, rec_loss 0.0290, lpips_loss 0.1813, g_loss -0.0175, disc_weight 0.5000, disc_adaptive_weight 2.7749, d_loss 0.5003, logits_real 0.0174, logits_fake 0.0175,
Train Epoch: [2/10] Iters:[10440/20018] gen_loss 0.1589, rec_loss 0.0286, lpips_loss 0.1806, g_loss -0.0179, disc_weight 0.5000, disc_adaptive_weight 2.8174, d_loss 0.5003, logits_real 0.0180, logits_fake 0.0181,
Train Epoch: [2/10] Iters:[10450/20018] gen_loss 0.1554, rec_loss 0.0292, lpips_loss 0.1803, g_loss -0.0190, disc_weight 0.5000, disc_adaptive_weight 2.8595, d_loss 0.5004, logits_real 0.0188, logits_fake 0.0191,
Train Epoch: [2/10] Iters:[10460/20018] gen_loss 0.1517, rec_loss 0.0288, lpips_loss 0.1787, g_loss -0.0197, disc_weight 0.5000, disc_adaptive_weight 2.8350, d_loss 0.5004, logits_real 0.0197, logits_fake 0.0200,
Train Epoch: [2/10] Iters:[10470/20018] gen_loss 0.1489, rec_loss 0.0288, lpips_loss 0.1791, g_loss -0.0205, disc_weight 0.5000, disc_adaptive_weight 2.8834, d_loss 0.5004, logits_real 0.0204, logits_fake 0.0208,
Train Epoch: [2/10] Iters:[10480/20018] gen_loss 0.1469, rec_loss 0.0285, lpips_loss 0.1783, g_loss -0.0206, disc_weight 0.5000, disc_adaptive_weight 2.9196, d_loss 0.5004, logits_real 0.0205, logits_fake 0.0209,
Train Epoch: [2/10] Iters:[10490/20018] gen_loss 0.1465, rec_loss 0.0287, lpips_loss 0.1786, g_loss -0.0206, disc_weight 0.5000, disc_adaptive_weight 2.9563, d_loss 0.5004, logits_real 0.0206, logits_fake 0.0210,
Train Epoch: [2/10] Iters:[10500/20018] gen_loss 0.1467, rec_loss 0.0283, lpips_loss 0.1781, g_loss -0.0204, disc_weight 0.5000, disc_adaptive_weight 2.9361, d_loss 0.5004, logits_real 0.0204, logits_fake 0.0207,
Train Epoch: [2/10] Iters:[10510/20018] gen_loss 0.1471, rec_loss 0.0287, lpips_loss 0.1793, g_loss -0.0202, disc_weight 0.5000, disc_adaptive_weight 3.0214, d_loss 0.5004, logits_real 0.0201, logits_fake 0.0204,
Train Epoch: [2/10] Iters:[10520/20018] gen_loss 0.1471, rec_loss 0.0285, lpips_loss 0.1791, g_loss -0.0200, disc_weight 0.5000, disc_adaptive_weight 3.0307, d_loss 0.5003, logits_real 0.0200, logits_fake 0.0202,
Train Epoch: [2/10] Iters:[10530/20018] gen_loss 0.1481, rec_loss 0.0287, lpips_loss 0.1790, g_loss -0.0201, disc_weight 0.5000, disc_adaptive_weight 2.9767, d_loss 0.5003, logits_real 0.0203, logits_fake 0.0202,
Train Epoch: [2/10] Iters:[10540/20018] gen_loss 0.1473, rec_loss 0.0286, lpips_loss 0.1776, g_loss -0.0200, disc_weight 0.5000, disc_adaptive_weight 2.9514, d_loss 0.5002, logits_real 0.0203, logits_fake 0.0200,
Train Epoch: [2/10] Iters:[10550/20018] gen_loss 0.1484, rec_loss 0.0287, lpips_loss 0.1784, g_loss -0.0198, disc_weight 0.5000, disc_adaptive_weight 2.9739, d_loss 0.5002, logits_real 0.0202, logits_fake 0.0198,
Train Epoch: [2/10] Iters:[10560/20018] gen_loss 0.1488, rec_loss 0.0286, lpips_loss 0.1779, g_loss -0.0195, disc_weight 0.5000, disc_adaptive_weight 2.9690, d_loss 0.5002, logits_real 0.0199, logits_fake 0.0195,
Train Epoch: [2/10] Iters:[10570/20018] gen_loss 0.1513, rec_loss 0.0286, lpips_loss 0.1786, g_loss -0.0193, disc_weight 0.5000, disc_adaptive_weight 2.9073, d_loss 0.5002, logits_real 0.0199, logits_fake 0.0195,
Train Epoch: [2/10] Iters:[10580/20018] gen_loss 0.1519, rec_loss 0.0293, lpips_loss 0.1802, g_loss -0.0192, disc_weight 0.5000, disc_adaptive_weight 2.9939, d_loss 0.5003, logits_real 0.0196, logits_fake 0.0193,
Train Epoch: [2/10] Iters:[10590/20018] gen_loss 0.1521, rec_loss 0.0293, lpips_loss 0.1818, g_loss -0.0192, disc_weight 0.5000, disc_adaptive_weight 3.0600, d_loss 0.5003, logits_real 0.0193, logits_fake 0.0192,
Train Epoch: [2/10] Iters:[10600/20018] gen_loss 0.1520, rec_loss 0.0297, lpips_loss 0.1820, g_loss -0.0192, disc_weight 0.5000, disc_adaptive_weight 3.0944, d_loss 0.5003, logits_real 0.0192, logits_fake 0.0192,
Train Epoch: [2/10] Iters:[10610/20018] gen_loss 0.1544, rec_loss 0.0305, lpips_loss 0.1830, g_loss -0.0193, disc_weight 0.5000, disc_adaptive_weight 3.0651, d_loss 0.5004, logits_real 0.0192, logits_fake 0.0195,
Train Epoch: [2/10] Iters:[10620/20018] gen_loss 0.1556, rec_loss 0.0308, lpips_loss 0.1829, g_loss -0.0192, disc_weight 0.5000, disc_adaptive_weight 3.0166, d_loss 0.5004, logits_real 0.0188, logits_fake 0.0190,
Train Epoch: [2/10] Iters:[10630/20018] gen_loss 0.1561, rec_loss 0.0299, lpips_loss 0.1814, g_loss -0.0190, disc_weight 0.5000, disc_adaptive_weight 2.9044, d_loss 0.5004, logits_real 0.0187, logits_fake 0.0190,
Train Epoch: [2/10] Iters:[10640/20018] gen_loss 0.1574, rec_loss 0.0299, lpips_loss 0.1806, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 2.8164, d_loss 0.5004, logits_real 0.0189, logits_fake 0.0192,
Train Epoch: [2/10] Iters:[10650/20018] gen_loss 0.1573, rec_loss 0.0294, lpips_loss 0.1798, g_loss -0.0190, disc_weight 0.5000, disc_adaptive_weight 2.7283, d_loss 0.5004, logits_real 0.0190, logits_fake 0.0192,
Train Epoch: [2/10] Iters:[10660/20018] gen_loss 0.1549, rec_loss 0.0283, lpips_loss 0.1784, g_loss -0.0191, disc_weight 0.5000, disc_adaptive_weight 2.7155, d_loss 0.5004, logits_real 0.0190, logits_fake 0.0192,
Train Epoch: [2/10] Iters:[10670/20018] gen_loss 0.1516, rec_loss 0.0284, lpips_loss 0.1782, g_loss -0.0194, disc_weight 0.5000, disc_adaptive_weight 2.8389, d_loss 0.5004, logits_real 0.0195, logits_fake 0.0197,
Train Epoch: [2/10] Iters:[10680/20018] gen_loss 0.1525, rec_loss 0.0288, lpips_loss 0.1788, g_loss -0.0193, disc_weight 0.5000, disc_adaptive_weight 2.8601, d_loss 0.5004, logits_real 0.0193, logits_fake 0.0196,
Train Epoch: [2/10] Iters:[10690/20018] gen_loss 0.1543, rec_loss 0.0290, lpips_loss 0.1789, g_loss -0.0191, disc_weight 0.5000, disc_adaptive_weight 2.8019, d_loss 0.5004, logits_real 0.0187, logits_fake 0.0192,
Train Epoch: [2/10] Iters:[10700/20018] gen_loss 0.1540, rec_loss 0.0293, lpips_loss 0.1791, g_loss -0.0186, disc_weight 0.5000, disc_adaptive_weight 2.9161, d_loss 0.5005, logits_real 0.0181, logits_fake 0.0186,
Train Epoch: [2/10] Iters:[10710/20018] gen_loss 0.1564, rec_loss 0.0295, lpips_loss 0.1794, g_loss -0.0184, disc_weight 0.5000, disc_adaptive_weight 2.8449, d_loss 0.5004, logits_real 0.0179, logits_fake 0.0184,
Train Epoch: [2/10] Iters:[10720/20018] gen_loss 0.1576, rec_loss 0.0295, lpips_loss 0.1791, g_loss -0.0181, disc_weight 0.5000, disc_adaptive_weight 2.8146, d_loss 0.5004, logits_real 0.0176, logits_fake 0.0179,
Train Epoch: [2/10] Iters:[10730/20018] gen_loss 0.1573, rec_loss 0.0298, lpips_loss 0.1796, g_loss -0.0184, disc_weight 0.5000, disc_adaptive_weight 2.8300, d_loss 0.5004, logits_real 0.0179, logits_fake 0.0182,
Train Epoch: [2/10] Iters:[10740/20018] gen_loss 0.1553, rec_loss 0.0297, lpips_loss 0.1798, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 2.8862, d_loss 0.5004, logits_real 0.0186, logits_fake 0.0186,
Train Epoch: [2/10] Iters:[10750/20018] gen_loss 0.1563, rec_loss 0.0294, lpips_loss 0.1805, g_loss -0.0191, disc_weight 0.5000, disc_adaptive_weight 2.8004, d_loss 0.5003, logits_real 0.0193, logits_fake 0.0190,
Train Epoch: [2/10] Iters:[10760/20018] gen_loss 0.1536, rec_loss 0.0294, lpips_loss 0.1804, g_loss -0.0192, disc_weight 0.5000, disc_adaptive_weight 2.9198, d_loss 0.5003, logits_real 0.0196, logits_fake 0.0193,
Train Epoch: [2/10] Iters:[10770/20018] gen_loss 0.1520, rec_loss 0.0292, lpips_loss 0.1804, g_loss -0.0193, disc_weight 0.5000, disc_adaptive_weight 2.9811, d_loss 0.5003, logits_real 0.0196, logits_fake 0.0195,
Train Epoch: [2/10] Iters:[10780/20018] gen_loss 0.1491, rec_loss 0.0286, lpips_loss 0.1796, g_loss -0.0191, disc_weight 0.5000, disc_adaptive_weight 3.0847, d_loss 0.5003, logits_real 0.0196, logits_fake 0.0195,
Train Epoch: [2/10] Iters:[10790/20018] gen_loss 0.1511, rec_loss 0.0291, lpips_loss 0.1805, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 3.1010, d_loss 0.5003, logits_real 0.0193, logits_fake 0.0193,
Train Epoch: [2/10] Iters:[10800/20018] gen_loss 0.1479, rec_loss 0.0288, lpips_loss 0.1787, g_loss -0.0186, disc_weight 0.5000, disc_adaptive_weight 3.2059, d_loss 0.5004, logits_real 0.0188, logits_fake 0.0192,
Train Epoch: [2/10] Iters:[10810/20018] gen_loss 0.1489, rec_loss 0.0287, lpips_loss 0.1785, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 3.1711, d_loss 0.5004, logits_real 0.0185, logits_fake 0.0189,
Train Epoch: [2/10] Iters:[10820/20018] gen_loss 0.1510, rec_loss 0.0289, lpips_loss 0.1782, g_loss -0.0180, disc_weight 0.5000, disc_adaptive_weight 3.1099, d_loss 0.5004, logits_real 0.0181, logits_fake 0.0186,
Train Epoch: [2/10] Iters:[10830/20018] gen_loss 0.1536, rec_loss 0.0292, lpips_loss 0.1787, g_loss -0.0178, disc_weight 0.5000, disc_adaptive_weight 3.0442, d_loss 0.5004, logits_real 0.0178, logits_fake 0.0182,
Train Epoch: [2/10] Iters:[10840/20018] gen_loss 0.1536, rec_loss 0.0291, lpips_loss 0.1774, g_loss -0.0177, disc_weight 0.5000, disc_adaptive_weight 2.9885, d_loss 0.5004, logits_real 0.0177, logits_fake 0.0179,
Train Epoch: [2/10] Iters:[10850/20018] gen_loss 0.1576, rec_loss 0.0296, lpips_loss 0.1794, g_loss -0.0180, disc_weight 0.5000, disc_adaptive_weight 2.8586, d_loss 0.5003, logits_real 0.0179, logits_fake 0.0180,
Train Epoch: [2/10] Iters:[10860/20018] gen_loss 0.1604, rec_loss 0.0304, lpips_loss 0.1804, g_loss -0.0182, disc_weight 0.5000, disc_adaptive_weight 2.7665, d_loss 0.5003, logits_real 0.0179, logits_fake 0.0181,
Train Epoch: [2/10] Iters:[10870/20018] gen_loss 0.1611, rec_loss 0.0302, lpips_loss 0.1817, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 2.7056, d_loss 0.5003, logits_real 0.0185, logits_fake 0.0185,
Train Epoch: [2/10] Iters:[10880/20018] gen_loss 0.1601, rec_loss 0.0299, lpips_loss 0.1814, g_loss -0.0192, disc_weight 0.5000, disc_adaptive_weight 2.6601, d_loss 0.5003, logits_real 0.0189, logits_fake 0.0189,
Train Epoch: [2/10] Iters:[10890/20018] gen_loss 0.1598, rec_loss 0.0295, lpips_loss 0.1821, g_loss -0.0194, disc_weight 0.5000, disc_adaptive_weight 2.6549, d_loss 0.5003, logits_real 0.0191, logits_fake 0.0193,
Train Epoch: [2/10] Iters:[10900/20018] gen_loss 0.1560, rec_loss 0.0289, lpips_loss 0.1797, g_loss -0.0191, disc_weight 0.5000, disc_adaptive_weight 2.7419, d_loss 0.5004, logits_real 0.0189, logits_fake 0.0192,
Train Epoch: [2/10] Iters:[10910/20018] gen_loss 0.1526, rec_loss 0.0284, lpips_loss 0.1785, g_loss -0.0190, disc_weight 0.5000, disc_adaptive_weight 2.8718, d_loss 0.5003, logits_real 0.0188, logits_fake 0.0189,
Train Epoch: [2/10] Iters:[10920/20018] gen_loss 0.1531, rec_loss 0.0289, lpips_loss 0.1787, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 2.9065, d_loss 0.5004, logits_real 0.0186, logits_fake 0.0189,
Train Epoch: [2/10] Iters:[10930/20018] gen_loss 0.1547, rec_loss 0.0294, lpips_loss 0.1794, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 2.9657, d_loss 0.5003, logits_real 0.0183, logits_fake 0.0183,
Train Epoch: [2/10] Iters:[10940/20018] gen_loss 0.1541, rec_loss 0.0292, lpips_loss 0.1790, g_loss -0.0182, disc_weight 0.5000, disc_adaptive_weight 2.9840, d_loss 0.5003, logits_real 0.0181, logits_fake 0.0182,
Train Epoch: [2/10] Iters:[10950/20018] gen_loss 0.1566, rec_loss 0.0297, lpips_loss 0.1808, g_loss -0.0182, disc_weight 0.5000, disc_adaptive_weight 2.9591, d_loss 0.5003, logits_real 0.0182, logits_fake 0.0183,
Train Epoch: [2/10] Iters:[10960/20018] gen_loss 0.1592, rec_loss 0.0296, lpips_loss 0.1824, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 2.8794, d_loss 0.5003, logits_real 0.0184, logits_fake 0.0184,
Train Epoch: [2/10] Iters:[10970/20018] gen_loss 0.1580, rec_loss 0.0291, lpips_loss 0.1817, g_loss -0.0183, disc_weight 0.5000, disc_adaptive_weight 2.8856, d_loss 0.5003, logits_real 0.0184, logits_fake 0.0184,
Train Epoch: [2/10] Iters:[10980/20018] gen_loss 0.1571, rec_loss 0.0287, lpips_loss 0.1810, g_loss -0.0186, disc_weight 0.5000, disc_adaptive_weight 2.8245, d_loss 0.5004, logits_real 0.0187, logits_fake 0.0188,
Train Epoch: [2/10] Iters:[10990/20018] gen_loss 0.1551, rec_loss 0.0286, lpips_loss 0.1805, g_loss -0.0188, disc_weight 0.5000, disc_adaptive_weight 2.8628, d_loss 0.5003, logits_real 0.0189, logits_fake 0.0190,
Train Epoch: [2/10] Iters:[11000/20018] gen_loss 0.1548, rec_loss 0.0283, lpips_loss 0.1802, g_loss -0.0191, disc_weight 0.5000, disc_adaptive_weight 2.8069, d_loss 0.5004, logits_real 0.0191, logits_fake 0.0193,
Train Epoch: [2/10] Iters:[11010/20018] gen_loss 0.1527, rec_loss 0.0285, lpips_loss 0.1792, g_loss -0.0193, disc_weight 0.5000, disc_adaptive_weight 2.8410, d_loss 0.5003, logits_real 0.0195, logits_fake 0.0195,
Train Epoch: [2/10] Iters:[11020/20018] gen_loss 0.1523, rec_loss 0.0281, lpips_loss 0.1787, g_loss -0.0192, disc_weight 0.5000, disc_adaptive_weight 2.8337, d_loss 0.5003, logits_real 0.0193, logits_fake 0.0195,
Train Epoch: [2/10] Iters:[11030/20018] gen_loss 0.1520, rec_loss 0.0279, lpips_loss 0.1785, g_loss -0.0190, disc_weight 0.5000, disc_adaptive_weight 2.8653, d_loss 0.5004, logits_real 0.0192, logits_fake 0.0193,
Train Epoch: [2/10] Iters:[11040/20018] gen_loss 0.1535, rec_loss 0.0285, lpips_loss 0.1789, g_loss -0.0186, disc_weight 0.5000, disc_adaptive_weight 2.8917, d_loss 0.5003, logits_real 0.0189, logits_fake 0.0190,
Train Epoch: [2/10] Iters:[11050/20018] gen_loss 0.1529, rec_loss 0.0286, lpips_loss 0.1786, g_loss -0.0184, disc_weight 0.5000, disc_adaptive_weight 2.9555, d_loss 0.5002, logits_real 0.0188, logits_fake 0.0186,
Train Epoch: [2/10] Iters:[11060/20018] gen_loss 0.1540, rec_loss 0.0283, lpips_loss 0.1787, g_loss -0.0181, disc_weight 0.5000, disc_adaptive_weight 2.9402, d_loss 0.5003, logits_real 0.0184, logits_fake 0.0183,
Train Epoch: [2/10] Iters:[11070/20018] gen_loss 0.1545, rec_loss 0.0286, lpips_loss 0.1787, g_loss -0.0179, disc_weight 0.5000, disc_adaptive_weight 2.9577, d_loss 0.5003, logits_real 0.0183, logits_fake 0.0181,
Train Epoch: [2/10] Iters:[11080/20018] gen_loss 0.1556, rec_loss 0.0287, lpips_loss 0.1794, g_loss -0.0176, disc_weight 0.5000, disc_adaptive_weight 2.9988, d_loss 0.5003, logits_real 0.0180, logits_fake 0.0177,
Train Epoch: [2/10] Iters:[11090/20018] gen_loss 0.1557, rec_loss 0.0283, lpips_loss 0.1793, g_loss -0.0175, disc_weight 0.5000, disc_adaptive_weight 2.9877, d_loss 0.5003, logits_real 0.0176, logits_fake 0.0175,
