dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_transplant_True
saver_name_pre: wasserstein_vq_transplant_True_ImageNet_model_8192_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[10/20018] transplant_loss 3.3964, rec_loss 0.4142, p_loss 0.7748, quant_error1 0.5478, quant_error 0.9568, utilization 0.4543, perplexity 2231.3478,
Train Epoch: [2/5] Iters:[740/20018] transplant_loss 0.9056, rec_loss 0.0253, p_loss 0.1785, quant_error1 0.2601, quant_error 0.2289, utilization 0.9813, perplexity 5806.6655,
Train Epoch: [2/5] Iters:[750/20018] transplant_loss 0.9030, rec_loss 0.0254, p_loss 0.1783, quant_error1 0.2596, quant_error 0.2281, utilization 0.9811, perplexity 5784.4569,
Train Epoch: [2/5] Iters:[760/20018] transplant_loss 0.9097, rec_loss 0.0256, p_loss 0.1793, quant_error1 0.2615, quant_error 0.2300, utilization 0.9813, perplexity 5824.7407,
Train Epoch: [2/5] Iters:[770/20018] transplant_loss 0.9116, rec_loss 0.0260, p_loss 0.1800, quant_error1 0.2615, quant_error 0.2301, utilization 0.9807, perplexity 5810.7096,
Train Epoch: [2/5] Iters:[780/20018] transplant_loss 0.9121, rec_loss 0.0260, p_loss 0.1810, quant_error1 0.2611, quant_error 0.2300, utilization 0.9806, perplexity 5809.3902,
Train Epoch: [2/5] Iters:[790/20018] transplant_loss 0.9190, rec_loss 0.0264, p_loss 0.1819, quant_error1 0.2631, quant_error 0.2319, utilization 0.9808, perplexity 5834.3108,
Train Epoch: [2/5] Iters:[800/20018] transplant_loss 0.9084, rec_loss 0.0262, p_loss 0.1813, quant_error1 0.2589, quant_error 0.2284, utilization 0.9805, perplexity 5798.2738,
Train Epoch: [2/5] Iters:[810/20018] transplant_loss 0.9056, rec_loss 0.0262, p_loss 0.1813, quant_error1 0.2580, quant_error 0.2275, utilization 0.9803, perplexity 5787.2389,
Train Epoch: [2/5] Iters:[820/20018] transplant_loss 0.9046, rec_loss 0.0259, p_loss 0.1812, quant_error1 0.2580, quant_error 0.2274, utilization 0.9806, perplexity 5808.5856,
Train Epoch: [2/5] Iters:[830/20018] transplant_loss 0.9026, rec_loss 0.0259, p_loss 0.1803, quant_error1 0.2579, quant_error 0.2271, utilization 0.9805, perplexity 5800.0651,
Train Epoch: [2/5] Iters:[840/20018] transplant_loss 0.8905, rec_loss 0.0254, p_loss 0.1784, quant_error1 0.2543, quant_error 0.2238, utilization 0.9801, perplexity 5761.7057,
Train Epoch: [2/5] Iters:[850/20018] transplant_loss 0.8928, rec_loss 0.0255, p_loss 0.1780, quant_error1 0.2553, quant_error 0.2248, utilization 0.9806, perplexity 5807.3083,
Train Epoch: [2/5] Iters:[860/20018] transplant_loss 0.8887, rec_loss 0.0251, p_loss 0.1774, quant_error1 0.2542, quant_error 0.2237, utilization 0.9809, perplexity 5824.9718,
Train Epoch: [2/5] Iters:[870/20018] transplant_loss 0.8922, rec_loss 0.0251, p_loss 0.1778, quant_error1 0.2554, quant_error 0.2248, utilization 0.9811, perplexity 5828.4437,
Train Epoch: [2/5] Iters:[880/20018] transplant_loss 0.8996, rec_loss 0.0251, p_loss 0.1785, quant_error1 0.2580, quant_error 0.2273, utilization 0.9808, perplexity 5820.4005,
Train Epoch: [2/5] Iters:[890/20018] transplant_loss 0.9123, rec_loss 0.0257, p_loss 0.1799, quant_error1 0.2622, quant_error 0.2309, utilization 0.9806, perplexity 5797.6198,
Train Epoch: [2/5] Iters:[900/20018] transplant_loss 0.9220, rec_loss 0.0257, p_loss 0.1808, quant_error1 0.2656, quant_error 0.2339, utilization 0.9804, perplexity 5784.0079,
Train Epoch: [2/5] Iters:[910/20018] transplant_loss 0.9215, rec_loss 0.0259, p_loss 0.1808, quant_error1 0.2650, quant_error 0.2335, utilization 0.9803, perplexity 5758.4371,
Train Epoch: [2/5] Iters:[920/20018] transplant_loss 0.9191, rec_loss 0.0259, p_loss 0.1801, quant_error1 0.2643, quant_error 0.2329, utilization 0.9801, perplexity 5761.3065,
Train Epoch: [2/5] Iters:[930/20018] transplant_loss 0.9120, rec_loss 0.0258, p_loss 0.1800, quant_error1 0.2618, quant_error 0.2305, utilization 0.9804, perplexity 5761.5271,
Train Epoch: [2/5] Iters:[940/20018] transplant_loss 0.9088, rec_loss 0.0256, p_loss 0.1796, quant_error1 0.2605, quant_error 0.2295, utilization 0.9808, perplexity 5805.6439,
Train Epoch: [2/5] Iters:[950/20018] transplant_loss 0.8984, rec_loss 0.0253, p_loss 0.1793, quant_error1 0.2565, quant_error 0.2261, utilization 0.9807, perplexity 5797.9568,
Train Epoch: [2/5] Iters:[960/20018] transplant_loss 0.9079, rec_loss 0.0254, p_loss 0.1800, quant_error1 0.2601, quant_error 0.2292, utilization 0.9810, perplexity 5833.5748,
Train Epoch: [2/5] Iters:[970/20018] transplant_loss 0.9105, rec_loss 0.0253, p_loss 0.1802, quant_error1 0.2612, quant_error 0.2302, utilization 0.9812, perplexity 5825.1126,
Train Epoch: [2/5] Iters:[980/20018] transplant_loss 0.9205, rec_loss 0.0259, p_loss 0.1805, quant_error1 0.2647, quant_error 0.2332, utilization 0.9811, perplexity 5821.4510,
Train Epoch: [2/5] Iters:[990/20018] transplant_loss 0.9310, rec_loss 0.0261, p_loss 0.1811, quant_error1 0.2685, quant_error 0.2367, utilization 0.9809, perplexity 5812.5766,
Train Epoch: [2/5] Iters:[1000/20018] transplant_loss 0.9412, rec_loss 0.0263, p_loss 0.1811, quant_error1 0.2728, quant_error 0.2404, utilization 0.9810, perplexity 5817.4745,
Train Epoch: [2/5] Iters:[1010/20018] transplant_loss 0.9410, rec_loss 0.0265, p_loss 0.1810, quant_error1 0.2728, quant_error 0.2404, utilization 0.9809, perplexity 5814.2421,
Train Epoch: [2/5] Iters:[1020/20018] transplant_loss 0.9451, rec_loss 0.0266, p_loss 0.1812, quant_error1 0.2741, quant_error 0.2416, utilization 0.9807, perplexity 5802.3064,
Train Epoch: [2/5] Iters:[1030/20018] transplant_loss 0.9449, rec_loss 0.0264, p_loss 0.1813, quant_error1 0.2740, quant_error 0.2415, utilization 0.9803, perplexity 5771.0475,
Train Epoch: [2/5] Iters:[1040/20018] transplant_loss 0.9245, rec_loss 0.0255, p_loss 0.1796, quant_error1 0.2671, quant_error 0.2353, utilization 0.9804, perplexity 5778.2576,
Train Epoch: [2/5] Iters:[1050/20018] transplant_loss 0.9221, rec_loss 0.0257, p_loss 0.1801, quant_error1 0.2655, quant_error 0.2339, utilization 0.9807, perplexity 5802.1707,
Train Epoch: [2/5] Iters:[1060/20018] transplant_loss 0.9129, rec_loss 0.0253, p_loss 0.1799, quant_error1 0.2621, quant_error 0.2310, utilization 0.9803, perplexity 5778.0502,
Train Epoch: [2/5] Iters:[1070/20018] transplant_loss 0.9037, rec_loss 0.0250, p_loss 0.1797, quant_error1 0.2588, quant_error 0.2280, utilization 0.9804, perplexity 5800.8339,
Train Epoch: [2/5] Iters:[1080/20018] transplant_loss 0.8913, rec_loss 0.0245, p_loss 0.1794, quant_error1 0.2543, quant_error 0.2240, utilization 0.9809, perplexity 5821.3405,
Train Epoch: [2/5] Iters:[1090/20018] transplant_loss 0.8915, rec_loss 0.0251, p_loss 0.1804, quant_error1 0.2537, quant_error 0.2236, utilization 0.9810, perplexity 5824.1235,
Train Epoch: [2/5] Iters:[1100/20018] transplant_loss 0.8881, rec_loss 0.0247, p_loss 0.1792, quant_error1 0.2531, quant_error 0.2232, utilization 0.9809, perplexity 5819.1346,
Train Epoch: [2/5] Iters:[1110/20018] transplant_loss 0.8942, rec_loss 0.0250, p_loss 0.1799, quant_error1 0.2549, quant_error 0.2248, utilization 0.9811, perplexity 5824.2869,
Train Epoch: [2/5] Iters:[1120/20018] transplant_loss 0.9008, rec_loss 0.0251, p_loss 0.1806, quant_error1 0.2569, quant_error 0.2266, utilization 0.9810, perplexity 5815.0559,
Train Epoch: [2/5] Iters:[1130/20018] transplant_loss 0.9118, rec_loss 0.0253, p_loss 0.1804, quant_error1 0.2613, quant_error 0.2304, utilization 0.9811, perplexity 5846.7050,
Train Epoch: [2/5] Iters:[1140/20018] transplant_loss 0.9179, rec_loss 0.0250, p_loss 0.1799, quant_error1 0.2641, quant_error 0.2328, utilization 0.9809, perplexity 5841.9802,
Train Epoch: [2/5] Iters:[1150/20018] transplant_loss 0.9157, rec_loss 0.0250, p_loss 0.1810, quant_error1 0.2628, quant_error 0.2318, utilization 0.9807, perplexity 5834.0218,
Train Epoch: [2/5] Iters:[1160/20018] transplant_loss 0.9089, rec_loss 0.0248, p_loss 0.1799, quant_error1 0.2607, quant_error 0.2298, utilization 0.9806, perplexity 5828.6113,
Train Epoch: [2/5] Iters:[1170/20018] transplant_loss 0.9046, rec_loss 0.0246, p_loss 0.1785, quant_error1 0.2600, quant_error 0.2289, utilization 0.9805, perplexity 5814.3345,
Train Epoch: [2/5] Iters:[1180/20018] transplant_loss 0.8903, rec_loss 0.0243, p_loss 0.1775, quant_error1 0.2549, quant_error 0.2244, utilization 0.9802, perplexity 5768.9318,
Train Epoch: [2/5] Iters:[1190/20018] transplant_loss 0.8874, rec_loss 0.0243, p_loss 0.1775, quant_error1 0.2539, quant_error 0.2233, utilization 0.9806, perplexity 5776.4489,
Train Epoch: [2/5] Iters:[1200/20018] transplant_loss 0.8874, rec_loss 0.0243, p_loss 0.1763, quant_error1 0.2544, quant_error 0.2236, utilization 0.9808, perplexity 5783.6335,
Train Epoch: [2/5] Iters:[1210/20018] transplant_loss 0.8914, rec_loss 0.0245, p_loss 0.1767, quant_error1 0.2561, quant_error 0.2249, utilization 0.9806, perplexity 5752.7758,
Train Epoch: [2/5] Iters:[1220/20018] transplant_loss 0.8951, rec_loss 0.0246, p_loss 0.1776, quant_error1 0.2570, quant_error 0.2259, utilization 0.9810, perplexity 5776.0089,
Train Epoch: [2/5] Iters:[1230/20018] transplant_loss 0.8990, rec_loss 0.0247, p_loss 0.1779, quant_error1 0.2585, quant_error 0.2271, utilization 0.9811, perplexity 5803.3225,
Train Epoch: [2/5] Iters:[1240/20018] transplant_loss 0.9075, rec_loss 0.0251, p_loss 0.1790, quant_error1 0.2611, quant_error 0.2295, utilization 0.9808, perplexity 5791.7239,
Train Epoch: [2/5] Iters:[1250/20018] transplant_loss 0.9143, rec_loss 0.0255, p_loss 0.1803, quant_error1 0.2634, quant_error 0.2315, utilization 0.9804, perplexity 5758.9820,
Train Epoch: [2/5] Iters:[1260/20018] transplant_loss 0.9135, rec_loss 0.0252, p_loss 0.1805, quant_error1 0.2628, quant_error 0.2311, utilization 0.9806, perplexity 5783.2978,
Train Epoch: [2/5] Iters:[1270/20018] transplant_loss 0.9206, rec_loss 0.0254, p_loss 0.1807, quant_error1 0.2654, quant_error 0.2334, utilization 0.9806, perplexity 5797.7245,
Train Epoch: [2/5] Iters:[1280/20018] transplant_loss 0.9227, rec_loss 0.0254, p_loss 0.1810, quant_error1 0.2660, quant_error 0.2339, utilization 0.9805, perplexity 5770.9327,
Train Epoch: [2/5] Iters:[1290/20018] transplant_loss 0.9169, rec_loss 0.0251, p_loss 0.1805, quant_error1 0.2637, quant_error 0.2322, utilization 0.9806, perplexity 5775.3612,
Train Epoch: [2/5] Iters:[1300/20018] transplant_loss 0.9070, rec_loss 0.0246, p_loss 0.1789, quant_error1 0.2607, quant_error 0.2295, utilization 0.9810, perplexity 5798.8495,
Train Epoch: [2/5] Iters:[1310/20018] transplant_loss 0.9112, rec_loss 0.0248, p_loss 0.1789, quant_error1 0.2626, quant_error 0.2310, utilization 0.9810, perplexity 5788.9881,
Train Epoch: [2/5] Iters:[1320/20018] transplant_loss 0.9087, rec_loss 0.0250, p_loss 0.1791, quant_error1 0.2616, quant_error 0.2301, utilization 0.9806, perplexity 5765.1554,
Train Epoch: [2/5] Iters:[1330/20018] transplant_loss 0.9260, rec_loss 0.0258, p_loss 0.1807, quant_error1 0.2671, quant_error 0.2354, utilization 0.9810, perplexity 5815.6716,
Train Epoch: [2/5] Iters:[1340/20018] transplant_loss 0.9227, rec_loss 0.0258, p_loss 0.1804, quant_error1 0.2659, quant_error 0.2342, utilization 0.9805, perplexity 5769.5416,
Train Epoch: [2/5] Iters:[1350/20018] transplant_loss 0.9296, rec_loss 0.0261, p_loss 0.1818, quant_error1 0.2676, quant_error 0.2358, utilization 0.9802, perplexity 5774.3385,
Train Epoch: [2/5] Iters:[1360/20018] transplant_loss 0.9254, rec_loss 0.0260, p_loss 0.1813, quant_error1 0.2659, quant_error 0.2344, utilization 0.9804, perplexity 5809.4975,
Train Epoch: [2/5] Iters:[1370/20018] transplant_loss 0.9205, rec_loss 0.0260, p_loss 0.1811, quant_error1 0.2640, quant_error 0.2327, utilization 0.9807, perplexity 5800.5104,
Train Epoch: [2/5] Iters:[1380/20018] transplant_loss 0.9238, rec_loss 0.0262, p_loss 0.1816, quant_error1 0.2650, quant_error 0.2334, utilization 0.9807, perplexity 5801.3221,
Train Epoch: [2/5] Iters:[1390/20018] transplant_loss 0.9321, rec_loss 0.0263, p_loss 0.1817, quant_error1 0.2684, quant_error 0.2362, utilization 0.9806, perplexity 5789.2631,
Train Epoch: [2/5] Iters:[1400/20018] transplant_loss 0.9267, rec_loss 0.0261, p_loss 0.1807, quant_error1 0.2668, quant_error 0.2348, utilization 0.9807, perplexity 5767.7223,
Train Epoch: [2/5] Iters:[1410/20018] transplant_loss 0.9250, rec_loss 0.0261, p_loss 0.1811, quant_error1 0.2662, quant_error 0.2342, utilization 0.9806, perplexity 5734.9269,
Train Epoch: [2/5] Iters:[1420/20018] transplant_loss 0.9245, rec_loss 0.0257, p_loss 0.1807, quant_error1 0.2663, quant_error 0.2343, utilization 0.9807, perplexity 5754.8996,
Train Epoch: [2/5] Iters:[1430/20018] transplant_loss 0.9062, rec_loss 0.0251, p_loss 0.1785, quant_error1 0.2605, quant_error 0.2291, utilization 0.9803, perplexity 5722.2852,
Train Epoch: [2/5] Iters:[1440/20018] transplant_loss 0.8881, rec_loss 0.0244, p_loss 0.1767, quant_error1 0.2543, quant_error 0.2234, utilization 0.9803, perplexity 5729.1817,
Train Epoch: [2/5] Iters:[1450/20018] transplant_loss 0.8925, rec_loss 0.0245, p_loss 0.1780, quant_error1 0.2555, quant_error 0.2245, utilization 0.9806, perplexity 5767.3912,
Train Epoch: [2/5] Iters:[1460/20018] transplant_loss 0.8923, rec_loss 0.0243, p_loss 0.1775, quant_error1 0.2557, quant_error 0.2246, utilization 0.9807, perplexity 5784.9915,
Train Epoch: [2/5] Iters:[1470/20018] transplant_loss 0.8886, rec_loss 0.0245, p_loss 0.1777, quant_error1 0.2539, quant_error 0.2231, utilization 0.9806, perplexity 5781.7294,
Train Epoch: [2/5] Iters:[1480/20018] transplant_loss 0.8944, rec_loss 0.0246, p_loss 0.1787, quant_error1 0.2556, quant_error 0.2247, utilization 0.9809, perplexity 5799.9389,
Train Epoch: [2/5] Iters:[1490/20018] transplant_loss 0.9111, rec_loss 0.0253, p_loss 0.1808, quant_error1 0.2609, quant_error 0.2297, utilization 0.9812, perplexity 5842.0851,
Train Epoch: [2/5] Iters:[1500/20018] transplant_loss 0.9058, rec_loss 0.0252, p_loss 0.1798, quant_error1 0.2592, quant_error 0.2282, utilization 0.9809, perplexity 5818.5461,
Train Epoch: [2/5] Iters:[1510/20018] transplant_loss 0.9129, rec_loss 0.0253, p_loss 0.1811, quant_error1 0.2612, quant_error 0.2302, utilization 0.9810, perplexity 5836.0494,
Train Epoch: [2/5] Iters:[1520/20018] transplant_loss 0.9167, rec_loss 0.0254, p_loss 0.1811, quant_error1 0.2628, quant_error 0.2315, utilization 0.9811, perplexity 5844.1258,
Train Epoch: [2/5] Iters:[1530/20018] transplant_loss 0.9192, rec_loss 0.0255, p_loss 0.1808, quant_error1 0.2640, quant_error 0.2325, utilization 0.9811, perplexity 5829.7251,
Train Epoch: [2/5] Iters:[1540/20018] transplant_loss 0.9197, rec_loss 0.0255, p_loss 0.1803, quant_error1 0.2645, quant_error 0.2330, utilization 0.9811, perplexity 5822.4673,
Train Epoch: [2/5] Iters:[1550/20018] transplant_loss 0.9266, rec_loss 0.0259, p_loss 0.1812, quant_error1 0.2667, quant_error 0.2350, utilization 0.9812, perplexity 5824.3401,
Train Epoch: [2/5] Iters:[1560/20018] transplant_loss 0.9292, rec_loss 0.0262, p_loss 0.1813, quant_error1 0.2674, quant_error 0.2356, utilization 0.9811, perplexity 5823.8579,
Train Epoch: [2/5] Iters:[1570/20018] transplant_loss 0.9244, rec_loss 0.0261, p_loss 0.1811, quant_error1 0.2656, quant_error 0.2341, utilization 0.9807, perplexity 5787.5539,
Train Epoch: [2/5] Iters:[1580/20018] transplant_loss 0.9112, rec_loss 0.0255, p_loss 0.1800, quant_error1 0.2612, quant_error 0.2301, utilization 0.9810, perplexity 5820.1703,
Train Epoch: [2/5] Iters:[1590/20018] transplant_loss 0.9101, rec_loss 0.0255, p_loss 0.1795, quant_error1 0.2613, quant_error 0.2298, utilization 0.9812, perplexity 5849.3952,
Train Epoch: [2/5] Iters:[1600/20018] transplant_loss 0.9025, rec_loss 0.0254, p_loss 0.1789, quant_error1 0.2585, quant_error 0.2274, utilization 0.9811, perplexity 5812.4151,
Train Epoch: [2/5] Iters:[1610/20018] transplant_loss 0.8916, rec_loss 0.0249, p_loss 0.1774, quant_error1 0.2553, quant_error 0.2243, utilization 0.9810, perplexity 5799.3780,
Train Epoch: [2/5] Iters:[1620/20018] transplant_loss 0.8941, rec_loss 0.0249, p_loss 0.1770, quant_error1 0.2564, quant_error 0.2252, utilization 0.9817, perplexity 5850.0427,
Train Epoch: [2/5] Iters:[1630/20018] transplant_loss 0.8995, rec_loss 0.0251, p_loss 0.1773, quant_error1 0.2582, quant_error 0.2268, utilization 0.9811, perplexity 5814.7397,
Train Epoch: [2/5] Iters:[1640/20018] transplant_loss 0.9033, rec_loss 0.0256, p_loss 0.1791, quant_error1 0.2585, quant_error 0.2274, utilization 0.9811, perplexity 5789.7048,
Train Epoch: [2/5] Iters:[1650/20018] transplant_loss 0.9093, rec_loss 0.0256, p_loss 0.1788, quant_error1 0.2612, quant_error 0.2296, utilization 0.9809, perplexity 5804.8753,
Train Epoch: [2/5] Iters:[1660/20018] transplant_loss 0.9103, rec_loss 0.0256, p_loss 0.1784, quant_error1 0.2615, quant_error 0.2299, utilization 0.9808, perplexity 5788.0234,
Train Epoch: [2/5] Iters:[1670/20018] transplant_loss 0.9151, rec_loss 0.0259, p_loss 0.1791, quant_error1 0.2632, quant_error 0.2315, utilization 0.9806, perplexity 5772.1073,
Train Epoch: [2/5] Iters:[1680/20018] transplant_loss 0.9082, rec_loss 0.0259, p_loss 0.1797, quant_error1 0.2602, quant_error 0.2290, utilization 0.9808, perplexity 5764.3235,
Train Epoch: [2/5] Iters:[1690/20018] transplant_loss 0.8963, rec_loss 0.0251, p_loss 0.1774, quant_error1 0.2571, quant_error 0.2260, utilization 0.9807, perplexity 5754.4848,
Train Epoch: [2/5] Iters:[1700/20018] transplant_loss 0.9004, rec_loss 0.0254, p_loss 0.1777, quant_error1 0.2583, quant_error 0.2271, utilization 0.9813, perplexity 5790.2578,
Train Epoch: [2/5] Iters:[1710/20018] transplant_loss 0.9051, rec_loss 0.0255, p_loss 0.1788, quant_error1 0.2598, quant_error 0.2285, utilization 0.9814, perplexity 5796.9668,
Train Epoch: [2/5] Iters:[1720/20018] transplant_loss 0.8978, rec_loss 0.0250, p_loss 0.1786, quant_error1 0.2571, quant_error 0.2262, utilization 0.9810, perplexity 5769.2639,
Train Epoch: [2/5] Iters:[1730/20018] transplant_loss 0.9061, rec_loss 0.0253, p_loss 0.1786, quant_error1 0.2604, quant_error 0.2289, utilization 0.9813, perplexity 5798.8264,
Train Epoch: [2/5] Iters:[1740/20018] transplant_loss 0.9115, rec_loss 0.0255, p_loss 0.1801, quant_error1 0.2616, quant_error 0.2301, utilization 0.9812, perplexity 5820.9808,
Train Epoch: [2/5] Iters:[1750/20018] transplant_loss 0.9021, rec_loss 0.0250, p_loss 0.1797, quant_error1 0.2584, quant_error 0.2272, utilization 0.9805, perplexity 5789.5903,
Train Epoch: [2/5] Iters:[1760/20018] transplant_loss 0.9049, rec_loss 0.0251, p_loss 0.1789, quant_error1 0.2601, quant_error 0.2284, utilization 0.9808, perplexity 5804.2706,
Train Epoch: [2/5] Iters:[1770/20018] transplant_loss 0.9093, rec_loss 0.0253, p_loss 0.1782, quant_error1 0.2622, quant_error 0.2302, utilization 0.9811, perplexity 5821.3997,
Train Epoch: [2/5] Iters:[1780/20018] transplant_loss 0.9042, rec_loss 0.0252, p_loss 0.1779, quant_error1 0.2603, quant_error 0.2285, utilization 0.9808, perplexity 5783.0400,
Train Epoch: [2/5] Iters:[1790/20018] transplant_loss 0.9047, rec_loss 0.0250, p_loss 0.1771, quant_error1 0.2610, quant_error 0.2290, utilization 0.9811, perplexity 5793.4226,
Train Epoch: [2/5] Iters:[1800/20018] transplant_loss 0.9060, rec_loss 0.0250, p_loss 0.1775, quant_error1 0.2611, quant_error 0.2293, utilization 0.9813, perplexity 5796.3940,
Train Epoch: [2/5] Iters:[1810/20018] transplant_loss 0.9118, rec_loss 0.0255, p_loss 0.1792, quant_error1 0.2621, quant_error 0.2305, utilization 0.9811, perplexity 5796.1034,
Train Epoch: [2/5] Iters:[1820/20018] transplant_loss 0.9051, rec_loss 0.0252, p_loss 0.1797, quant_error1 0.2590, quant_error 0.2278, utilization 0.9808, perplexity 5780.2458,
Train Epoch: [2/5] Iters:[1830/20018] transplant_loss 0.9132, rec_loss 0.0253, p_loss 0.1802, quant_error1 0.2622, quant_error 0.2306, utilization 0.9812, perplexity 5809.4493,
Train Epoch: [2/5] Iters:[1840/20018] transplant_loss 0.9044, rec_loss 0.0250, p_loss 0.1796, quant_error1 0.2592, quant_error 0.2279, utilization 0.9807, perplexity 5766.7011,
Train Epoch: [2/5] Iters:[1850/20018] transplant_loss 0.9143, rec_loss 0.0255, p_loss 0.1800, quant_error1 0.2624, quant_error 0.2307, utilization 0.9811, perplexity 5806.8393,
Train Epoch: [2/5] Iters:[1860/20018] transplant_loss 0.9028, rec_loss 0.0249, p_loss 0.1790, quant_error1 0.2588, quant_error 0.2274, utilization 0.9810, perplexity 5805.8564,
Train Epoch: [2/5] Iters:[1870/20018] transplant_loss 0.9140, rec_loss 0.0253, p_loss 0.1797, quant_error1 0.2628, quant_error 0.2310, utilization 0.9811, perplexity 5803.2564,
Train Epoch: [2/5] Iters:[1880/20018] transplant_loss 0.9141, rec_loss 0.0253, p_loss 0.1805, quant_error1 0.2623, quant_error 0.2306, utilization 0.9811, perplexity 5817.7026,
Train Epoch: [2/5] Iters:[1890/20018] transplant_loss 0.9170, rec_loss 0.0252, p_loss 0.1809, quant_error1 0.2631, quant_error 0.2315, utilization 0.9813, perplexity 5834.9829,
Train Epoch: [2/5] Iters:[1900/20018] transplant_loss 0.9069, rec_loss 0.0247, p_loss 0.1802, quant_error1 0.2599, quant_error 0.2286, utilization 0.9810, perplexity 5803.2304,
Train Epoch: [2/5] Iters:[1910/20018] transplant_loss 0.9037, rec_loss 0.0246, p_loss 0.1793, quant_error1 0.2591, quant_error 0.2278, utilization 0.9808, perplexity 5790.3019,
Train Epoch: [2/5] Iters:[1920/20018] transplant_loss 0.9016, rec_loss 0.0247, p_loss 0.1795, quant_error1 0.2583, quant_error 0.2271, utilization 0.9811, perplexity 5815.6838,
Train Epoch: [2/5] Iters:[1930/20018] transplant_loss 0.8988, rec_loss 0.0247, p_loss 0.1782, quant_error1 0.2579, quant_error 0.2264, utilization 0.9808, perplexity 5793.2301,
Train Epoch: [2/5] Iters:[1940/20018] transplant_loss 0.9049, rec_loss 0.0250, p_loss 0.1779, quant_error1 0.2605, quant_error 0.2287, utilization 0.9805, perplexity 5787.1611,
Train Epoch: [2/5] Iters:[1950/20018] transplant_loss 0.9066, rec_loss 0.0250, p_loss 0.1780, quant_error1 0.2611, quant_error 0.2294, utilization 0.9808, perplexity 5822.4084,
Train Epoch: [2/5] Iters:[1960/20018] transplant_loss 0.9096, rec_loss 0.0255, p_loss 0.1784, quant_error1 0.2618, quant_error 0.2301, utilization 0.9807, perplexity 5819.4595,
Train Epoch: [2/5] Iters:[1970/20018] transplant_loss 0.9029, rec_loss 0.0251, p_loss 0.1771, quant_error1 0.2598, quant_error 0.2282, utilization 0.9805, perplexity 5791.0788,
Train Epoch: [2/5] Iters:[1980/20018] transplant_loss 0.9065, rec_loss 0.0253, p_loss 0.1776, quant_error1 0.2609, quant_error 0.2293, utilization 0.9808, perplexity 5810.1559,
Train Epoch: [2/5] Iters:[1990/20018] transplant_loss 0.9126, rec_loss 0.0259, p_loss 0.1784, quant_error1 0.2628, quant_error 0.2308, utilization 0.9811, perplexity 5819.3357,
Train Epoch: [2/5] Iters:[2000/20018] transplant_loss 0.9117, rec_loss 0.0258, p_loss 0.1787, quant_error1 0.2624, quant_error 0.2303, utilization 0.9804, perplexity 5745.7062,
Train Epoch: [2/5] Iters:[2010/20018] transplant_loss 0.9099, rec_loss 0.0251, p_loss 0.1784, quant_error1 0.2625, quant_error 0.2302, utilization 0.9807, perplexity 5749.2450,
Train Epoch: [2/5] Iters:[2020/20018] transplant_loss 0.9062, rec_loss 0.0251, p_loss 0.1787, quant_error1 0.2608, quant_error 0.2288, utilization 0.9809, perplexity 5782.2020,
Train Epoch: [2/5] Iters:[2030/20018] transplant_loss 0.8956, rec_loss 0.0247, p_loss 0.1775, quant_error1 0.2575, quant_error 0.2258, utilization 0.9807, perplexity 5766.9325,
