dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 32768
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 15
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_32768_16_loss_1.0_0.2_1.0_0.4-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: ImageNet
model_pre: model_32768_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False_15
saver_name_pre: wasserstein_vq_refinement_False_15_ImageNet_model_32768_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/15] Iters:[10/20018] gen_loss -2.2669, rec_loss 0.0240, lpips_loss 0.1984, g_loss -0.2615, disc_weight 0.4000, disc_adaptive_weight 10.1100, d_loss 2.3252, logits_real 0.3270, logits_fake 0.2557,
Train Epoch: [1/15] Iters:[10300/20018] gen_loss 0.0224, rec_loss 0.0261, lpips_loss 0.1775, g_loss -0.0356, disc_weight 0.4000, disc_adaptive_weight 5.0904, d_loss 0.4009, logits_real 0.0349, logits_fake 0.0358,
Train Epoch: [1/15] Iters:[10310/20018] gen_loss 0.0299, rec_loss 0.0259, lpips_loss 0.1774, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 4.9297, d_loss 0.4009, logits_real 0.0347, logits_fake 0.0354,
Train Epoch: [1/15] Iters:[10320/20018] gen_loss 0.0281, rec_loss 0.0261, lpips_loss 0.1783, g_loss -0.0351, disc_weight 0.4000, disc_adaptive_weight 5.0246, d_loss 0.4009, logits_real 0.0345, logits_fake 0.0352,
Train Epoch: [1/15] Iters:[10330/20018] gen_loss 0.0335, rec_loss 0.0261, lpips_loss 0.1788, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 4.8697, d_loss 0.4008, logits_real 0.0346, logits_fake 0.0352,
Train Epoch: [1/15] Iters:[10340/20018] gen_loss 0.0374, rec_loss 0.0261, lpips_loss 0.1796, g_loss -0.0351, disc_weight 0.4000, disc_adaptive_weight 4.8058, d_loss 0.4008, logits_real 0.0346, logits_fake 0.0350,
Train Epoch: [1/15] Iters:[10350/20018] gen_loss 0.0400, rec_loss 0.0254, lpips_loss 0.1778, g_loss -0.0347, disc_weight 0.4000, disc_adaptive_weight 4.7004, d_loss 0.4008, logits_real 0.0343, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[10360/20018] gen_loss 0.0361, rec_loss 0.0255, lpips_loss 0.1781, g_loss -0.0347, disc_weight 0.4000, disc_adaptive_weight 4.8305, d_loss 0.4008, logits_real 0.0340, logits_fake 0.0346,
Train Epoch: [1/15] Iters:[10370/20018] gen_loss 0.0265, rec_loss 0.0254, lpips_loss 0.1771, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 5.0853, d_loss 0.4008, logits_real 0.0339, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[10380/20018] gen_loss -0.0021, rec_loss 0.0260, lpips_loss 0.1778, g_loss -0.0347, disc_weight 0.4000, disc_adaptive_weight 5.9290, d_loss 0.4009, logits_real 0.0340, logits_fake 0.0349,
Train Epoch: [1/15] Iters:[10390/20018] gen_loss -0.0140, rec_loss 0.0265, lpips_loss 0.1777, g_loss -0.0350, disc_weight 0.4000, disc_adaptive_weight 6.2322, d_loss 0.4009, logits_real 0.0340, logits_fake 0.0352,
Train Epoch: [1/15] Iters:[10400/20018] gen_loss -0.0148, rec_loss 0.0270, lpips_loss 0.1793, g_loss -0.0354, disc_weight 0.4000, disc_adaptive_weight 6.2614, d_loss 0.4009, logits_real 0.0344, logits_fake 0.0356,
Train Epoch: [1/15] Iters:[10410/20018] gen_loss -0.0097, rec_loss 0.0268, lpips_loss 0.1782, g_loss -0.0356, disc_weight 0.4000, disc_adaptive_weight 6.0562, d_loss 0.4009, logits_real 0.0348, logits_fake 0.0359,
Train Epoch: [1/15] Iters:[10420/20018] gen_loss 0.0025, rec_loss 0.0265, lpips_loss 0.1767, g_loss -0.0358, disc_weight 0.4000, disc_adaptive_weight 5.6252, d_loss 0.4009, logits_real 0.0350, logits_fake 0.0360,
Train Epoch: [1/15] Iters:[10430/20018] gen_loss 0.0302, rec_loss 0.0262, lpips_loss 0.1755, g_loss -0.0358, disc_weight 0.4000, disc_adaptive_weight 4.7911, d_loss 0.4009, logits_real 0.0350, logits_fake 0.0360,
Train Epoch: [1/15] Iters:[10440/20018] gen_loss 0.0403, rec_loss 0.0263, lpips_loss 0.1759, g_loss -0.0358, disc_weight 0.4000, disc_adaptive_weight 4.5169, d_loss 0.4009, logits_real 0.0351, logits_fake 0.0360,
Train Epoch: [1/15] Iters:[10450/20018] gen_loss 0.0403, rec_loss 0.0265, lpips_loss 0.1764, g_loss -0.0359, disc_weight 0.4000, disc_adaptive_weight 4.5239, d_loss 0.4009, logits_real 0.0351, logits_fake 0.0360,
Train Epoch: [1/15] Iters:[10460/20018] gen_loss 0.0372, rec_loss 0.0259, lpips_loss 0.1753, g_loss -0.0358, disc_weight 0.4000, disc_adaptive_weight 4.5871, d_loss 0.4009, logits_real 0.0348, logits_fake 0.0358,
Train Epoch: [1/15] Iters:[10470/20018] gen_loss 0.0375, rec_loss 0.0262, lpips_loss 0.1755, g_loss -0.0356, disc_weight 0.4000, disc_adaptive_weight 4.6101, d_loss 0.4009, logits_real 0.0347, logits_fake 0.0357,
Train Epoch: [1/15] Iters:[10480/20018] gen_loss 0.0332, rec_loss 0.0260, lpips_loss 0.1760, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 4.8028, d_loss 0.4009, logits_real 0.0343, logits_fake 0.0353,
Train Epoch: [1/15] Iters:[10490/20018] gen_loss 0.0346, rec_loss 0.0258, lpips_loss 0.1762, g_loss -0.0349, disc_weight 0.4000, disc_adaptive_weight 4.8067, d_loss 0.4009, logits_real 0.0340, logits_fake 0.0350,
Train Epoch: [1/15] Iters:[10500/20018] gen_loss 0.0413, rec_loss 0.0253, lpips_loss 0.1748, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 4.5971, d_loss 0.4009, logits_real 0.0338, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[10510/20018] gen_loss 0.0389, rec_loss 0.0259, lpips_loss 0.1770, g_loss -0.0347, disc_weight 0.4000, disc_adaptive_weight 4.7378, d_loss 0.4009, logits_real 0.0339, logits_fake 0.0348,
Train Epoch: [1/15] Iters:[10520/20018] gen_loss 0.0329, rec_loss 0.0257, lpips_loss 0.1781, g_loss -0.0348, disc_weight 0.4000, disc_adaptive_weight 4.9200, d_loss 0.4008, logits_real 0.0340, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[10530/20018] gen_loss 0.0311, rec_loss 0.0257, lpips_loss 0.1774, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 4.8885, d_loss 0.4008, logits_real 0.0343, logits_fake 0.0350,
Train Epoch: [1/15] Iters:[10540/20018] gen_loss 0.0294, rec_loss 0.0256, lpips_loss 0.1775, g_loss -0.0355, disc_weight 0.4000, disc_adaptive_weight 4.9002, d_loss 0.4008, logits_real 0.0346, logits_fake 0.0353,
Train Epoch: [1/15] Iters:[10550/20018] gen_loss 0.0190, rec_loss 0.0256, lpips_loss 0.1786, g_loss -0.0355, disc_weight 0.4000, disc_adaptive_weight 5.2332, d_loss 0.4008, logits_real 0.0345, logits_fake 0.0353,
Train Epoch: [1/15] Iters:[10560/20018] gen_loss 0.0245, rec_loss 0.0254, lpips_loss 0.1777, g_loss -0.0355, disc_weight 0.4000, disc_adaptive_weight 5.0514, d_loss 0.4008, logits_real 0.0344, logits_fake 0.0352,
Train Epoch: [1/15] Iters:[10570/20018] gen_loss 0.0323, rec_loss 0.0254, lpips_loss 0.1766, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 4.8220, d_loss 0.4009, logits_real 0.0342, logits_fake 0.0351,
Train Epoch: [1/15] Iters:[10580/20018] gen_loss 0.0426, rec_loss 0.0255, lpips_loss 0.1773, g_loss -0.0349, disc_weight 0.4000, disc_adaptive_weight 4.5930, d_loss 0.4009, logits_real 0.0338, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[10590/20018] gen_loss 0.0454, rec_loss 0.0252, lpips_loss 0.1754, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 4.5094, d_loss 0.4009, logits_real 0.0334, logits_fake 0.0343,
Train Epoch: [1/15] Iters:[10600/20018] gen_loss 0.0521, rec_loss 0.0253, lpips_loss 0.1752, g_loss -0.0343, disc_weight 0.4000, disc_adaptive_weight 4.3277, d_loss 0.4009, logits_real 0.0334, logits_fake 0.0342,
Train Epoch: [1/15] Iters:[10610/20018] gen_loss 0.0472, rec_loss 0.0250, lpips_loss 0.1751, g_loss -0.0344, disc_weight 0.4000, disc_adaptive_weight 4.4424, d_loss 0.4009, logits_real 0.0334, logits_fake 0.0342,
Train Epoch: [1/15] Iters:[10620/20018] gen_loss 0.0472, rec_loss 0.0253, lpips_loss 0.1757, g_loss -0.0344, disc_weight 0.4000, disc_adaptive_weight 4.4802, d_loss 0.4009, logits_real 0.0335, logits_fake 0.0343,
Train Epoch: [1/15] Iters:[10630/20018] gen_loss 0.0421, rec_loss 0.0253, lpips_loss 0.1751, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 4.6029, d_loss 0.4009, logits_real 0.0336, logits_fake 0.0344,
Train Epoch: [1/15] Iters:[10640/20018] gen_loss 0.0474, rec_loss 0.0255, lpips_loss 0.1759, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 4.4561, d_loss 0.4009, logits_real 0.0338, logits_fake 0.0345,
Train Epoch: [1/15] Iters:[10650/20018] gen_loss 0.0465, rec_loss 0.0259, lpips_loss 0.1768, g_loss -0.0347, disc_weight 0.4000, disc_adaptive_weight 4.5031, d_loss 0.4008, logits_real 0.0340, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[10660/20018] gen_loss 0.0478, rec_loss 0.0257, lpips_loss 0.1770, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 4.4970, d_loss 0.4008, logits_real 0.0338, logits_fake 0.0345,
Train Epoch: [1/15] Iters:[10670/20018] gen_loss 0.0424, rec_loss 0.0257, lpips_loss 0.1768, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 4.6443, d_loss 0.4008, logits_real 0.0338, logits_fake 0.0344,
Train Epoch: [1/15] Iters:[10680/20018] gen_loss 0.0406, rec_loss 0.0257, lpips_loss 0.1779, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 4.7191, d_loss 0.4008, logits_real 0.0339, logits_fake 0.0346,
Train Epoch: [1/15] Iters:[10690/20018] gen_loss 0.0277, rec_loss 0.0261, lpips_loss 0.1782, g_loss -0.0348, disc_weight 0.4000, disc_adaptive_weight 5.0867, d_loss 0.4008, logits_real 0.0341, logits_fake 0.0348,
Train Epoch: [1/15] Iters:[10700/20018] gen_loss 0.0232, rec_loss 0.0259, lpips_loss 0.1778, g_loss -0.0349, disc_weight 0.4000, disc_adaptive_weight 5.1865, d_loss 0.4008, logits_real 0.0342, logits_fake 0.0349,
Train Epoch: [1/15] Iters:[10710/20018] gen_loss 0.0260, rec_loss 0.0266, lpips_loss 0.1776, g_loss -0.0350, disc_weight 0.4000, disc_adaptive_weight 5.1059, d_loss 0.4008, logits_real 0.0343, logits_fake 0.0350,
Train Epoch: [1/15] Iters:[10720/20018] gen_loss 0.0277, rec_loss 0.0269, lpips_loss 0.1784, g_loss -0.0350, disc_weight 0.4000, disc_adaptive_weight 5.0816, d_loss 0.4008, logits_real 0.0344, logits_fake 0.0351,
Train Epoch: [1/15] Iters:[10730/20018] gen_loss 0.0272, rec_loss 0.0266, lpips_loss 0.1764, g_loss -0.0350, disc_weight 0.4000, disc_adaptive_weight 5.0356, d_loss 0.4008, logits_real 0.0341, logits_fake 0.0349,
Train Epoch: [1/15] Iters:[10740/20018] gen_loss 0.0357, rec_loss 0.0267, lpips_loss 0.1776, g_loss -0.0349, disc_weight 0.4000, disc_adaptive_weight 4.8395, d_loss 0.4008, logits_real 0.0340, logits_fake 0.0348,
Train Epoch: [1/15] Iters:[10750/20018] gen_loss 0.0425, rec_loss 0.0270, lpips_loss 0.1769, g_loss -0.0348, disc_weight 0.4000, disc_adaptive_weight 4.6422, d_loss 0.4008, logits_real 0.0337, logits_fake 0.0346,
Train Epoch: [1/15] Iters:[10760/20018] gen_loss 0.0428, rec_loss 0.0268, lpips_loss 0.1775, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 4.6714, d_loss 0.4009, logits_real 0.0336, logits_fake 0.0346,
Train Epoch: [1/15] Iters:[10770/20018] gen_loss 0.0411, rec_loss 0.0267, lpips_loss 0.1777, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 4.7244, d_loss 0.4008, logits_real 0.0336, logits_fake 0.0345,
Train Epoch: [1/15] Iters:[10780/20018] gen_loss 0.0388, rec_loss 0.0268, lpips_loss 0.1790, g_loss -0.0344, disc_weight 0.4000, disc_adaptive_weight 4.8603, d_loss 0.4008, logits_real 0.0336, logits_fake 0.0343,
Train Epoch: [1/15] Iters:[10790/20018] gen_loss 0.0296, rec_loss 0.0267, lpips_loss 0.1788, g_loss -0.0343, disc_weight 0.4000, disc_adaptive_weight 5.1427, d_loss 0.4008, logits_real 0.0335, logits_fake 0.0343,
Train Epoch: [1/15] Iters:[10800/20018] gen_loss 0.0268, rec_loss 0.0262, lpips_loss 0.1789, g_loss -0.0342, disc_weight 0.4000, disc_adaptive_weight 5.2317, d_loss 0.4008, logits_real 0.0333, logits_fake 0.0342,
Train Epoch: [1/15] Iters:[10810/20018] gen_loss 0.0268, rec_loss 0.0264, lpips_loss 0.1790, g_loss -0.0344, disc_weight 0.4000, disc_adaptive_weight 5.2040, d_loss 0.4009, logits_real 0.0334, logits_fake 0.0343,
Train Epoch: [1/15] Iters:[10820/20018] gen_loss 0.0294, rec_loss 0.0265, lpips_loss 0.1781, g_loss -0.0347, disc_weight 0.4000, disc_adaptive_weight 5.0770, d_loss 0.4009, logits_real 0.0336, logits_fake 0.0346,
Train Epoch: [1/15] Iters:[10830/20018] gen_loss 0.0335, rec_loss 0.0267, lpips_loss 0.1774, g_loss -0.0348, disc_weight 0.4000, disc_adaptive_weight 4.9144, d_loss 0.4009, logits_real 0.0336, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[10840/20018] gen_loss 0.0325, rec_loss 0.0262, lpips_loss 0.1761, g_loss -0.0349, disc_weight 0.4000, disc_adaptive_weight 4.8622, d_loss 0.4009, logits_real 0.0337, logits_fake 0.0348,
Train Epoch: [1/15] Iters:[10850/20018] gen_loss 0.0300, rec_loss 0.0261, lpips_loss 0.1761, g_loss -0.0351, disc_weight 0.4000, disc_adaptive_weight 4.9123, d_loss 0.4009, logits_real 0.0340, logits_fake 0.0350,
Train Epoch: [1/15] Iters:[10860/20018] gen_loss 0.0332, rec_loss 0.0256, lpips_loss 0.1758, g_loss -0.0351, disc_weight 0.4000, disc_adaptive_weight 4.8029, d_loss 0.4009, logits_real 0.0339, logits_fake 0.0348,
Train Epoch: [1/15] Iters:[10870/20018] gen_loss 0.0348, rec_loss 0.0253, lpips_loss 0.1766, g_loss -0.0351, disc_weight 0.4000, disc_adaptive_weight 4.7646, d_loss 0.4008, logits_real 0.0340, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[10880/20018] gen_loss 0.0362, rec_loss 0.0252, lpips_loss 0.1771, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 4.7203, d_loss 0.4008, logits_real 0.0341, logits_fake 0.0348,
Train Epoch: [1/15] Iters:[10890/20018] gen_loss 0.0389, rec_loss 0.0255, lpips_loss 0.1774, g_loss -0.0353, disc_weight 0.4000, disc_adaptive_weight 4.6631, d_loss 0.4008, logits_real 0.0341, logits_fake 0.0348,
Train Epoch: [1/15] Iters:[10900/20018] gen_loss 0.0391, rec_loss 0.0257, lpips_loss 0.1782, g_loss -0.0353, disc_weight 0.4000, disc_adaptive_weight 4.6795, d_loss 0.4008, logits_real 0.0341, logits_fake 0.0348,
Train Epoch: [1/15] Iters:[10910/20018] gen_loss 0.0332, rec_loss 0.0259, lpips_loss 0.1776, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 4.8431, d_loss 0.4008, logits_real 0.0341, logits_fake 0.0349,
Train Epoch: [1/15] Iters:[10920/20018] gen_loss 0.0350, rec_loss 0.0266, lpips_loss 0.1786, g_loss -0.0351, disc_weight 0.4000, disc_adaptive_weight 4.8505, d_loss 0.4009, logits_real 0.0341, logits_fake 0.0349,
Train Epoch: [1/15] Iters:[10930/20018] gen_loss 0.0283, rec_loss 0.0270, lpips_loss 0.1793, g_loss -0.0351, disc_weight 0.4000, disc_adaptive_weight 5.0732, d_loss 0.4009, logits_real 0.0342, logits_fake 0.0350,
Train Epoch: [1/15] Iters:[10940/20018] gen_loss 0.0168, rec_loss 0.0271, lpips_loss 0.1791, g_loss -0.0350, disc_weight 0.4000, disc_adaptive_weight 5.4181, d_loss 0.4009, logits_real 0.0341, logits_fake 0.0351,
Train Epoch: [1/15] Iters:[10950/20018] gen_loss 0.0112, rec_loss 0.0279, lpips_loss 0.1786, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 5.5466, d_loss 0.4009, logits_real 0.0343, logits_fake 0.0354,
Train Epoch: [1/15] Iters:[10960/20018] gen_loss 0.0145, rec_loss 0.0280, lpips_loss 0.1791, g_loss -0.0356, disc_weight 0.4000, disc_adaptive_weight 5.4291, d_loss 0.4009, logits_real 0.0347, logits_fake 0.0357,
Train Epoch: [1/15] Iters:[10970/20018] gen_loss 0.0020, rec_loss 0.0270, lpips_loss 0.1770, g_loss -0.0357, disc_weight 0.4000, disc_adaptive_weight 5.6796, d_loss 0.4009, logits_real 0.0348, logits_fake 0.0359,
Train Epoch: [1/15] Iters:[10980/20018] gen_loss 0.0076, rec_loss 0.0267, lpips_loss 0.1770, g_loss -0.0360, disc_weight 0.4000, disc_adaptive_weight 5.4771, d_loss 0.4009, logits_real 0.0350, logits_fake 0.0361,
Train Epoch: [1/15] Iters:[10990/20018] gen_loss 0.0214, rec_loss 0.0268, lpips_loss 0.1780, g_loss -0.0364, disc_weight 0.4000, disc_adaptive_weight 5.0536, d_loss 0.4008, logits_real 0.0355, logits_fake 0.0364,
Train Epoch: [1/15] Iters:[11000/20018] gen_loss 0.0284, rec_loss 0.0263, lpips_loss 0.1779, g_loss -0.0366, disc_weight 0.4000, disc_adaptive_weight 4.8199, d_loss 0.4008, logits_real 0.0359, logits_fake 0.0367,
Train Epoch: [1/15] Iters:[11010/20018] gen_loss 0.0192, rec_loss 0.0261, lpips_loss 0.1775, g_loss -0.0365, disc_weight 0.4000, disc_adaptive_weight 5.0716, d_loss 0.4008, logits_real 0.0360, logits_fake 0.0367,
Train Epoch: [1/15] Iters:[11020/20018] gen_loss 0.0251, rec_loss 0.0263, lpips_loss 0.1783, g_loss -0.0366, disc_weight 0.4000, disc_adaptive_weight 4.9229, d_loss 0.4008, logits_real 0.0361, logits_fake 0.0368,
Train Epoch: [1/15] Iters:[11030/20018] gen_loss 0.0241, rec_loss 0.0262, lpips_loss 0.1771, g_loss -0.0365, disc_weight 0.4000, disc_adaptive_weight 4.9230, d_loss 0.4008, logits_real 0.0359, logits_fake 0.0367,
Train Epoch: [1/15] Iters:[11040/20018] gen_loss 0.0288, rec_loss 0.0254, lpips_loss 0.1764, g_loss -0.0363, disc_weight 0.4000, disc_adaptive_weight 4.7847, d_loss 0.4008, logits_real 0.0355, logits_fake 0.0362,
Train Epoch: [1/15] Iters:[11050/20018] gen_loss 0.0299, rec_loss 0.0253, lpips_loss 0.1759, g_loss -0.0360, disc_weight 0.4000, disc_adaptive_weight 4.7650, d_loss 0.4008, logits_real 0.0352, logits_fake 0.0359,
Train Epoch: [1/15] Iters:[11060/20018] gen_loss 0.0404, rec_loss 0.0254, lpips_loss 0.1765, g_loss -0.0360, disc_weight 0.4000, disc_adaptive_weight 4.4957, d_loss 0.4008, logits_real 0.0350, logits_fake 0.0356,
Train Epoch: [1/15] Iters:[11070/20018] gen_loss 0.0369, rec_loss 0.0256, lpips_loss 0.1768, g_loss -0.0359, disc_weight 0.4000, disc_adaptive_weight 4.6145, d_loss 0.4008, logits_real 0.0349, logits_fake 0.0356,
Train Epoch: [1/15] Iters:[11080/20018] gen_loss 0.0397, rec_loss 0.0254, lpips_loss 0.1772, g_loss -0.0360, disc_weight 0.4000, disc_adaptive_weight 4.5408, d_loss 0.4007, logits_real 0.0352, logits_fake 0.0355,
Train Epoch: [1/15] Iters:[11090/20018] gen_loss 0.0293, rec_loss 0.0261, lpips_loss 0.1777, g_loss -0.0363, disc_weight 0.4000, disc_adaptive_weight 4.8068, d_loss 0.4007, logits_real 0.0357, logits_fake 0.0357,
Train Epoch: [1/15] Iters:[11100/20018] gen_loss 0.0320, rec_loss 0.0264, lpips_loss 0.1785, g_loss -0.0363, disc_weight 0.4000, disc_adaptive_weight 4.7699, d_loss 0.4006, logits_real 0.0358, logits_fake 0.0357,
Train Epoch: [1/15] Iters:[11110/20018] gen_loss 0.0280, rec_loss 0.0268, lpips_loss 0.1784, g_loss -0.0363, disc_weight 0.4000, disc_adaptive_weight 4.8985, d_loss 0.4007, logits_real 0.0359, logits_fake 0.0359,
Train Epoch: [1/15] Iters:[11120/20018] gen_loss 0.0321, rec_loss 0.0272, lpips_loss 0.1783, g_loss -0.0363, disc_weight 0.4000, disc_adaptive_weight 4.7902, d_loss 0.4007, logits_real 0.0357, logits_fake 0.0358,
Train Epoch: [1/15] Iters:[11130/20018] gen_loss 0.0268, rec_loss 0.0277, lpips_loss 0.1787, g_loss -0.0363, disc_weight 0.4000, disc_adaptive_weight 4.9677, d_loss 0.4008, logits_real 0.0355, logits_fake 0.0360,
Train Epoch: [1/15] Iters:[11140/20018] gen_loss 0.0329, rec_loss 0.0276, lpips_loss 0.1782, g_loss -0.0360, disc_weight 0.4000, disc_adaptive_weight 4.8209, d_loss 0.4009, logits_real 0.0352, logits_fake 0.0361,
Train Epoch: [1/15] Iters:[11150/20018] gen_loss 0.0369, rec_loss 0.0269, lpips_loss 0.1774, g_loss -0.0359, disc_weight 0.4000, disc_adaptive_weight 4.6737, d_loss 0.4009, logits_real 0.0347, logits_fake 0.0358,
Train Epoch: [1/15] Iters:[11160/20018] gen_loss 0.0389, rec_loss 0.0265, lpips_loss 0.1775, g_loss -0.0356, disc_weight 0.4000, disc_adaptive_weight 4.6480, d_loss 0.4009, logits_real 0.0344, logits_fake 0.0353,
Train Epoch: [1/15] Iters:[11170/20018] gen_loss 0.0457, rec_loss 0.0258, lpips_loss 0.1767, g_loss -0.0351, disc_weight 0.4000, disc_adaptive_weight 4.4627, d_loss 0.4009, logits_real 0.0341, logits_fake 0.0350,
Train Epoch: [1/15] Iters:[11180/20018] gen_loss 0.0464, rec_loss 0.0257, lpips_loss 0.1766, g_loss -0.0348, disc_weight 0.4000, disc_adaptive_weight 4.4856, d_loss 0.4008, logits_real 0.0340, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[11190/20018] gen_loss 0.0432, rec_loss 0.0258, lpips_loss 0.1774, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 4.6402, d_loss 0.4008, logits_real 0.0339, logits_fake 0.0346,
Train Epoch: [1/15] Iters:[11200/20018] gen_loss 0.0311, rec_loss 0.0261, lpips_loss 0.1774, g_loss -0.0347, disc_weight 0.4000, disc_adaptive_weight 4.9786, d_loss 0.4008, logits_real 0.0339, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[11210/20018] gen_loss 0.0287, rec_loss 0.0263, lpips_loss 0.1773, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 5.0672, d_loss 0.4009, logits_real 0.0338, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[11220/20018] gen_loss 0.0275, rec_loss 0.0270, lpips_loss 0.1779, g_loss -0.0347, disc_weight 0.4000, disc_adaptive_weight 5.1260, d_loss 0.4009, logits_real 0.0340, logits_fake 0.0348,
Train Epoch: [1/15] Iters:[11230/20018] gen_loss 0.0313, rec_loss 0.0268, lpips_loss 0.1783, g_loss -0.0346, disc_weight 0.4000, disc_adaptive_weight 5.0308, d_loss 0.4008, logits_real 0.0339, logits_fake 0.0347,
Train Epoch: [1/15] Iters:[11240/20018] gen_loss 0.0309, rec_loss 0.0267, lpips_loss 0.1785, g_loss -0.0345, disc_weight 0.4000, disc_adaptive_weight 5.0457, d_loss 0.4008, logits_real 0.0336, logits_fake 0.0345,
Train Epoch: [1/15] Iters:[11250/20018] gen_loss 0.0346, rec_loss 0.0267, lpips_loss 0.1786, g_loss -0.0341, disc_weight 0.4000, disc_adaptive_weight 5.0009, d_loss 0.4008, logits_real 0.0334, logits_fake 0.0343,
Train Epoch: [1/15] Iters:[11260/20018] gen_loss 0.0426, rec_loss 0.0266, lpips_loss 0.1787, g_loss -0.0344, disc_weight 0.4000, disc_adaptive_weight 4.7315, d_loss 0.4008, logits_real 0.0337, logits_fake 0.0346,
Train Epoch: [1/15] Iters:[11270/20018] gen_loss 0.0417, rec_loss 0.0266, lpips_loss 0.1794, g_loss -0.0348, disc_weight 0.4000, disc_adaptive_weight 4.7302, d_loss 0.4008, logits_real 0.0339, logits_fake 0.0348,
Train Epoch: [1/15] Iters:[11280/20018] gen_loss 0.0456, rec_loss 0.0269, lpips_loss 0.1790, g_loss -0.0350, disc_weight 0.4000, disc_adaptive_weight 4.5904, d_loss 0.4008, logits_real 0.0342, logits_fake 0.0350,
Train Epoch: [1/15] Iters:[11290/20018] gen_loss 0.0493, rec_loss 0.0268, lpips_loss 0.1790, g_loss -0.0353, disc_weight 0.4000, disc_adaptive_weight 4.4474, d_loss 0.4008, logits_real 0.0344, logits_fake 0.0350,
Train Epoch: [1/15] Iters:[11300/20018] gen_loss 0.0470, rec_loss 0.0268, lpips_loss 0.1795, g_loss -0.0356, disc_weight 0.4000, disc_adaptive_weight 4.4951, d_loss 0.4008, logits_real 0.0346, logits_fake 0.0352,
