dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 16384
codebook_dim: 16
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_16384_16_loss_1.0_0.2_1.0_0.4-5.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False_10
saver_name_pre: wasserstein_vq_refinement_False_10_ImageNet_model_16384_16_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VQGAN/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/10] Iters:[10/20018] gen_loss 6.6235, rec_loss 0.0277, lpips_loss 0.2392, g_loss 0.3848, disc_weight 0.4000, disc_adaptive_weight 15.2948, d_loss 2.5674, logits_real -0.2907, logits_fake -0.3909,
Train Epoch: [1/10] Iters:[6100/20018] gen_loss 0.3906, rec_loss 0.0269, lpips_loss 0.1827, g_loss 0.0374, disc_weight 0.4000, disc_adaptive_weight 4.8404, d_loss 0.4014, logits_real -0.0383, logits_fake -0.0375,
Train Epoch: [1/10] Iters:[6110/20018] gen_loss 0.3932, rec_loss 0.0267, lpips_loss 0.1833, g_loss 0.0375, disc_weight 0.4000, disc_adaptive_weight 4.8953, d_loss 0.4014, logits_real -0.0385, logits_fake -0.0376,
Train Epoch: [1/10] Iters:[6120/20018] gen_loss 0.3880, rec_loss 0.0262, lpips_loss 0.1820, g_loss 0.0376, disc_weight 0.4000, disc_adaptive_weight 4.7903, d_loss 0.4014, logits_real -0.0386, logits_fake -0.0378,
Train Epoch: [1/10] Iters:[6130/20018] gen_loss 0.3971, rec_loss 0.0259, lpips_loss 0.1817, g_loss 0.0379, disc_weight 0.4000, disc_adaptive_weight 5.0027, d_loss 0.4014, logits_real -0.0389, logits_fake -0.0379,
Train Epoch: [1/10] Iters:[6140/20018] gen_loss 0.4105, rec_loss 0.0263, lpips_loss 0.1828, g_loss 0.0381, disc_weight 0.4000, disc_adaptive_weight 5.2850, d_loss 0.4015, logits_real -0.0391, logits_fake -0.0381,
Train Epoch: [1/10] Iters:[6150/20018] gen_loss 0.4169, rec_loss 0.0268, lpips_loss 0.1837, g_loss 0.0381, disc_weight 0.4000, disc_adaptive_weight 5.4239, d_loss 0.4014, logits_real -0.0390, logits_fake -0.0382,
Train Epoch: [1/10] Iters:[6160/20018] gen_loss 0.4172, rec_loss 0.0270, lpips_loss 0.1830, g_loss 0.0380, disc_weight 0.4000, disc_adaptive_weight 5.4625, d_loss 0.4014, logits_real -0.0388, logits_fake -0.0380,
Train Epoch: [1/10] Iters:[6170/20018] gen_loss 0.4292, rec_loss 0.0273, lpips_loss 0.1841, g_loss 0.0377, disc_weight 0.4000, disc_adaptive_weight 5.7779, d_loss 0.4014, logits_real -0.0386, logits_fake -0.0379,
Train Epoch: [1/10] Iters:[6180/20018] gen_loss 0.4269, rec_loss 0.0278, lpips_loss 0.1846, g_loss 0.0375, disc_weight 0.4000, disc_adaptive_weight 5.7169, d_loss 0.4014, logits_real -0.0385, logits_fake -0.0376,
Train Epoch: [1/10] Iters:[6190/20018] gen_loss 0.4214, rec_loss 0.0280, lpips_loss 0.1847, g_loss 0.0374, disc_weight 0.4000, disc_adaptive_weight 5.5989, d_loss 0.4015, logits_real -0.0383, logits_fake -0.0373,
Train Epoch: [1/10] Iters:[6200/20018] gen_loss 0.4216, rec_loss 0.0281, lpips_loss 0.1850, g_loss 0.0374, disc_weight 0.4000, disc_adaptive_weight 5.5808, d_loss 0.4015, logits_real -0.0383, logits_fake -0.0372,
Train Epoch: [1/10] Iters:[6210/20018] gen_loss 0.4293, rec_loss 0.0278, lpips_loss 0.1847, g_loss 0.0377, disc_weight 0.4000, disc_adaptive_weight 5.7408, d_loss 0.4015, logits_real -0.0388, logits_fake -0.0376,
Train Epoch: [1/10] Iters:[6220/20018] gen_loss 0.4234, rec_loss 0.0281, lpips_loss 0.1844, g_loss 0.0382, disc_weight 0.4000, disc_adaptive_weight 5.5189, d_loss 0.4015, logits_real -0.0391, logits_fake -0.0380,
Train Epoch: [1/10] Iters:[6230/20018] gen_loss 0.4188, rec_loss 0.0277, lpips_loss 0.1834, g_loss 0.0385, disc_weight 0.4000, disc_adaptive_weight 5.3928, d_loss 0.4015, logits_real -0.0393, logits_fake -0.0383,
Train Epoch: [1/10] Iters:[6240/20018] gen_loss 0.4179, rec_loss 0.0278, lpips_loss 0.1839, g_loss 0.0388, disc_weight 0.4000, disc_adaptive_weight 5.3161, d_loss 0.4014, logits_real -0.0396, logits_fake -0.0386,
Train Epoch: [1/10] Iters:[6250/20018] gen_loss 0.4184, rec_loss 0.0278, lpips_loss 0.1830, g_loss 0.0391, disc_weight 0.4000, disc_adaptive_weight 5.2968, d_loss 0.4014, logits_real -0.0399, logits_fake -0.0390,
Train Epoch: [1/10] Iters:[6260/20018] gen_loss 0.4147, rec_loss 0.0279, lpips_loss 0.1837, g_loss 0.0393, disc_weight 0.4000, disc_adaptive_weight 5.1570, d_loss 0.4014, logits_real -0.0402, logits_fake -0.0392,
Train Epoch: [1/10] Iters:[6270/20018] gen_loss 0.4141, rec_loss 0.0274, lpips_loss 0.1835, g_loss 0.0395, disc_weight 0.4000, disc_adaptive_weight 5.1426, d_loss 0.4014, logits_real -0.0404, logits_fake -0.0395,
Train Epoch: [1/10] Iters:[6280/20018] gen_loss 0.4208, rec_loss 0.0278, lpips_loss 0.1836, g_loss 0.0393, disc_weight 0.4000, disc_adaptive_weight 5.3384, d_loss 0.4014, logits_real -0.0402, logits_fake -0.0393,
Train Epoch: [1/10] Iters:[6290/20018] gen_loss 0.4242, rec_loss 0.0271, lpips_loss 0.1829, g_loss 0.0391, disc_weight 0.4000, disc_adaptive_weight 5.4833, d_loss 0.4014, logits_real -0.0400, logits_fake -0.0391,
Train Epoch: [1/10] Iters:[6300/20018] gen_loss 0.4115, rec_loss 0.0269, lpips_loss 0.1833, g_loss 0.0388, disc_weight 0.4000, disc_adaptive_weight 5.1904, d_loss 0.4014, logits_real -0.0397, logits_fake -0.0389,
Train Epoch: [1/10] Iters:[6310/20018] gen_loss 0.4073, rec_loss 0.0271, lpips_loss 0.1839, g_loss 0.0384, disc_weight 0.4000, disc_adaptive_weight 5.1094, d_loss 0.4014, logits_real -0.0392, logits_fake -0.0384,
Train Epoch: [1/10] Iters:[6320/20018] gen_loss 0.3993, rec_loss 0.0274, lpips_loss 0.1842, g_loss 0.0382, disc_weight 0.4000, disc_adaptive_weight 4.9198, d_loss 0.4014, logits_real -0.0387, logits_fake -0.0380,
Train Epoch: [1/10] Iters:[6330/20018] gen_loss 0.3992, rec_loss 0.0269, lpips_loss 0.1843, g_loss 0.0383, disc_weight 0.4000, disc_adaptive_weight 4.9090, d_loss 0.4014, logits_real -0.0388, logits_fake -0.0380,
Train Epoch: [1/10] Iters:[6340/20018] gen_loss 0.3882, rec_loss 0.0269, lpips_loss 0.1839, g_loss 0.0384, disc_weight 0.4000, disc_adaptive_weight 4.6259, d_loss 0.4014, logits_real -0.0388, logits_fake -0.0382,
Train Epoch: [1/10] Iters:[6350/20018] gen_loss 0.3903, rec_loss 0.0266, lpips_loss 0.1832, g_loss 0.0385, disc_weight 0.4000, disc_adaptive_weight 4.6970, d_loss 0.4014, logits_real -0.0390, logits_fake -0.0381,
Train Epoch: [1/10] Iters:[6360/20018] gen_loss 0.3892, rec_loss 0.0266, lpips_loss 0.1822, g_loss 0.0386, disc_weight 0.4000, disc_adaptive_weight 4.6833, d_loss 0.4014, logits_real -0.0391, logits_fake -0.0383,
Train Epoch: [1/10] Iters:[6370/20018] gen_loss 0.3981, rec_loss 0.0265, lpips_loss 0.1825, g_loss 0.0386, disc_weight 0.4000, disc_adaptive_weight 4.8976, d_loss 0.4014, logits_real -0.0393, logits_fake -0.0385,
Train Epoch: [1/10] Iters:[6380/20018] gen_loss 0.3912, rec_loss 0.0266, lpips_loss 0.1826, g_loss 0.0386, disc_weight 0.4000, disc_adaptive_weight 4.7115, d_loss 0.4014, logits_real -0.0395, logits_fake -0.0387,
Train Epoch: [1/10] Iters:[6390/20018] gen_loss 0.3954, rec_loss 0.0269, lpips_loss 0.1822, g_loss 0.0389, disc_weight 0.4000, disc_adaptive_weight 4.7909, d_loss 0.4014, logits_real -0.0397, logits_fake -0.0388,
Train Epoch: [1/10] Iters:[6400/20018] gen_loss 0.4087, rec_loss 0.0270, lpips_loss 0.1828, g_loss 0.0390, disc_weight 0.4000, disc_adaptive_weight 5.1117, d_loss 0.4014, logits_real -0.0397, logits_fake -0.0389,
Train Epoch: [1/10] Iters:[6410/20018] gen_loss 0.4180, rec_loss 0.0264, lpips_loss 0.1819, g_loss 0.0390, disc_weight 0.4000, disc_adaptive_weight 5.3879, d_loss 0.4014, logits_real -0.0398, logits_fake -0.0390,
Train Epoch: [1/10] Iters:[6420/20018] gen_loss 0.4094, rec_loss 0.0263, lpips_loss 0.1812, g_loss 0.0393, disc_weight 0.4000, disc_adaptive_weight 5.1549, d_loss 0.4014, logits_real -0.0400, logits_fake -0.0392,
Train Epoch: [1/10] Iters:[6430/20018] gen_loss 0.4010, rec_loss 0.0262, lpips_loss 0.1809, g_loss 0.0396, disc_weight 0.4000, disc_adaptive_weight 4.9136, d_loss 0.4013, logits_real -0.0401, logits_fake -0.0394,
Train Epoch: [1/10] Iters:[6440/20018] gen_loss 0.4040, rec_loss 0.0266, lpips_loss 0.1822, g_loss 0.0396, disc_weight 0.4000, disc_adaptive_weight 4.9526, d_loss 0.4012, logits_real -0.0399, logits_fake -0.0395,
Train Epoch: [1/10] Iters:[6450/20018] gen_loss 0.3978, rec_loss 0.0263, lpips_loss 0.1824, g_loss 0.0398, disc_weight 0.4000, disc_adaptive_weight 4.7741, d_loss 0.4012, logits_real -0.0401, logits_fake -0.0398,
Train Epoch: [1/10] Iters:[6460/20018] gen_loss 0.3921, rec_loss 0.0263, lpips_loss 0.1830, g_loss 0.0399, disc_weight 0.4000, disc_adaptive_weight 4.6013, d_loss 0.4012, logits_real -0.0402, logits_fake -0.0400,
Train Epoch: [1/10] Iters:[6470/20018] gen_loss 0.3965, rec_loss 0.0265, lpips_loss 0.1841, g_loss 0.0397, disc_weight 0.4000, disc_adaptive_weight 4.7022, d_loss 0.4012, logits_real -0.0401, logits_fake -0.0400,
Train Epoch: [1/10] Iters:[6480/20018] gen_loss 0.4010, rec_loss 0.0264, lpips_loss 0.1841, g_loss 0.0394, disc_weight 0.4000, disc_adaptive_weight 4.8399, d_loss 0.4012, logits_real -0.0401, logits_fake -0.0398,
Train Epoch: [1/10] Iters:[6490/20018] gen_loss 0.3958, rec_loss 0.0264, lpips_loss 0.1837, g_loss 0.0393, disc_weight 0.4000, disc_adaptive_weight 4.7375, d_loss 0.4013, logits_real -0.0401, logits_fake -0.0396,
Train Epoch: [1/10] Iters:[6500/20018] gen_loss 0.3932, rec_loss 0.0273, lpips_loss 0.1846, g_loss 0.0389, disc_weight 0.4000, disc_adaptive_weight 4.6681, d_loss 0.4013, logits_real -0.0398, logits_fake -0.0391,
Train Epoch: [1/10] Iters:[6510/20018] gen_loss 0.3883, rec_loss 0.0272, lpips_loss 0.1838, g_loss 0.0388, disc_weight 0.4000, disc_adaptive_weight 4.5744, d_loss 0.4013, logits_real -0.0396, logits_fake -0.0389,
Train Epoch: [1/10] Iters:[6520/20018] gen_loss 0.3908, rec_loss 0.0267, lpips_loss 0.1826, g_loss 0.0388, disc_weight 0.4000, disc_adaptive_weight 4.6806, d_loss 0.4014, logits_real -0.0396, logits_fake -0.0386,
Train Epoch: [1/10] Iters:[6530/20018] gen_loss 0.4002, rec_loss 0.0271, lpips_loss 0.1830, g_loss 0.0389, disc_weight 0.4000, disc_adaptive_weight 4.8870, d_loss 0.4014, logits_real -0.0397, logits_fake -0.0387,
Train Epoch: [1/10] Iters:[6540/20018] gen_loss 0.4147, rec_loss 0.0267, lpips_loss 0.1827, g_loss 0.0389, disc_weight 0.4000, disc_adaptive_weight 5.2771, d_loss 0.4014, logits_real -0.0398, logits_fake -0.0388,
Train Epoch: [1/10] Iters:[6550/20018] gen_loss 0.4190, rec_loss 0.0264, lpips_loss 0.1821, g_loss 0.0391, disc_weight 0.4000, disc_adaptive_weight 5.3817, d_loss 0.4014, logits_real -0.0400, logits_fake -0.0390,
Train Epoch: [1/10] Iters:[6560/20018] gen_loss 0.4245, rec_loss 0.0275, lpips_loss 0.1839, g_loss 0.0392, disc_weight 0.4000, disc_adaptive_weight 5.4381, d_loss 0.4014, logits_real -0.0400, logits_fake -0.0388,
Train Epoch: [1/10] Iters:[6570/20018] gen_loss 0.4207, rec_loss 0.0284, lpips_loss 0.1859, g_loss 0.0389, disc_weight 0.4000, disc_adaptive_weight 5.2957, d_loss 0.4014, logits_real -0.0396, logits_fake -0.0386,
Train Epoch: [1/10] Iters:[6580/20018] gen_loss 0.4139, rec_loss 0.0282, lpips_loss 0.1865, g_loss 0.0388, disc_weight 0.4000, disc_adaptive_weight 5.1325, d_loss 0.4013, logits_real -0.0394, logits_fake -0.0385,
Train Epoch: [1/10] Iters:[6590/20018] gen_loss 0.4037, rec_loss 0.0283, lpips_loss 0.1867, g_loss 0.0387, disc_weight 0.4000, disc_adaptive_weight 4.8698, d_loss 0.4013, logits_real -0.0393, logits_fake -0.0384,
Train Epoch: [1/10] Iters:[6600/20018] gen_loss 0.3959, rec_loss 0.0283, lpips_loss 0.1861, g_loss 0.0388, disc_weight 0.4000, disc_adaptive_weight 4.6801, d_loss 0.4013, logits_real -0.0393, logits_fake -0.0386,
Train Epoch: [1/10] Iters:[6610/20018] gen_loss 0.3908, rec_loss 0.0277, lpips_loss 0.1852, g_loss 0.0388, disc_weight 0.4000, disc_adaptive_weight 4.5945, d_loss 0.4013, logits_real -0.0394, logits_fake -0.0388,
Train Epoch: [1/10] Iters:[6620/20018] gen_loss 0.3885, rec_loss 0.0272, lpips_loss 0.1837, g_loss 0.0391, disc_weight 0.4000, disc_adaptive_weight 4.5432, d_loss 0.4013, logits_real -0.0399, logits_fake -0.0392,
Train Epoch: [1/10] Iters:[6630/20018] gen_loss 0.3953, rec_loss 0.0266, lpips_loss 0.1819, g_loss 0.0395, disc_weight 0.4000, disc_adaptive_weight 4.7321, d_loss 0.4013, logits_real -0.0402, logits_fake -0.0396,
Train Epoch: [1/10] Iters:[6640/20018] gen_loss 0.3949, rec_loss 0.0268, lpips_loss 0.1820, g_loss 0.0398, disc_weight 0.4000, disc_adaptive_weight 4.6761, d_loss 0.4012, logits_real -0.0405, logits_fake -0.0399,
Train Epoch: [1/10] Iters:[6650/20018] gen_loss 0.4034, rec_loss 0.0267, lpips_loss 0.1816, g_loss 0.0402, disc_weight 0.4000, disc_adaptive_weight 4.8539, d_loss 0.4012, logits_real -0.0408, logits_fake -0.0403,
Train Epoch: [1/10] Iters:[6660/20018] gen_loss 0.4152, rec_loss 0.0265, lpips_loss 0.1811, g_loss 0.0403, disc_weight 0.4000, disc_adaptive_weight 5.1452, d_loss 0.4012, logits_real -0.0409, logits_fake -0.0405,
Train Epoch: [1/10] Iters:[6670/20018] gen_loss 0.4207, rec_loss 0.0266, lpips_loss 0.1819, g_loss 0.0405, disc_weight 0.4000, disc_adaptive_weight 5.2444, d_loss 0.4012, logits_real -0.0410, logits_fake -0.0406,
Train Epoch: [1/10] Iters:[6680/20018] gen_loss 0.4209, rec_loss 0.0276, lpips_loss 0.1840, g_loss 0.0404, disc_weight 0.4000, disc_adaptive_weight 5.1837, d_loss 0.4013, logits_real -0.0408, logits_fake -0.0403,
Train Epoch: [1/10] Iters:[6690/20018] gen_loss 0.4172, rec_loss 0.0274, lpips_loss 0.1833, g_loss 0.0404, disc_weight 0.4000, disc_adaptive_weight 5.1104, d_loss 0.4012, logits_real -0.0405, logits_fake -0.0403,
Train Epoch: [1/10] Iters:[6700/20018] gen_loss 0.4145, rec_loss 0.0275, lpips_loss 0.1846, g_loss 0.0401, disc_weight 0.4000, disc_adaptive_weight 5.0372, d_loss 0.4012, logits_real -0.0401, logits_fake -0.0398,
Train Epoch: [1/10] Iters:[6710/20018] gen_loss 0.4128, rec_loss 0.0279, lpips_loss 0.1850, g_loss 0.0396, disc_weight 0.4000, disc_adaptive_weight 5.0457, d_loss 0.4013, logits_real -0.0399, logits_fake -0.0393,
Train Epoch: [1/10] Iters:[6720/20018] gen_loss 0.4158, rec_loss 0.0278, lpips_loss 0.1848, g_loss 0.0391, disc_weight 0.4000, disc_adaptive_weight 5.1993, d_loss 0.4013, logits_real -0.0395, logits_fake -0.0389,
Train Epoch: [1/10] Iters:[6730/20018] gen_loss 0.4105, rec_loss 0.0277, lpips_loss 0.1840, g_loss 0.0387, disc_weight 0.4000, disc_adaptive_weight 5.1287, d_loss 0.4013, logits_real -0.0393, logits_fake -0.0386,
Train Epoch: [1/10] Iters:[6740/20018] gen_loss 0.4138, rec_loss 0.0278, lpips_loss 0.1843, g_loss 0.0387, disc_weight 0.4000, disc_adaptive_weight 5.2058, d_loss 0.4014, logits_real -0.0396, logits_fake -0.0386,
Train Epoch: [1/10] Iters:[6750/20018] gen_loss 0.4110, rec_loss 0.0274, lpips_loss 0.1837, g_loss 0.0389, disc_weight 0.4000, disc_adaptive_weight 5.1371, d_loss 0.4013, logits_real -0.0399, logits_fake -0.0391,
Train Epoch: [1/10] Iters:[6760/20018] gen_loss 0.4056, rec_loss 0.0270, lpips_loss 0.1833, g_loss 0.0396, disc_weight 0.4000, disc_adaptive_weight 4.9258, d_loss 0.4013, logits_real -0.0405, logits_fake -0.0398,
Train Epoch: [1/10] Iters:[6770/20018] gen_loss 0.4004, rec_loss 0.0269, lpips_loss 0.1825, g_loss 0.0403, disc_weight 0.4000, disc_adaptive_weight 4.7282, d_loss 0.4012, logits_real -0.0408, logits_fake -0.0405,
Train Epoch: [1/10] Iters:[6780/20018] gen_loss 0.4010, rec_loss 0.0265, lpips_loss 0.1832, g_loss 0.0407, disc_weight 0.4000, disc_adaptive_weight 4.6903, d_loss 0.4012, logits_real -0.0414, logits_fake -0.0409,
Train Epoch: [1/10] Iters:[6790/20018] gen_loss 0.3994, rec_loss 0.0265, lpips_loss 0.1830, g_loss 0.0406, disc_weight 0.4000, disc_adaptive_weight 4.6638, d_loss 0.4012, logits_real -0.0414, logits_fake -0.0408,
Train Epoch: [1/10] Iters:[6800/20018] gen_loss 0.3959, rec_loss 0.0267, lpips_loss 0.1832, g_loss 0.0404, disc_weight 0.4000, disc_adaptive_weight 4.5863, d_loss 0.4013, logits_real -0.0414, logits_fake -0.0406,
Train Epoch: [1/10] Iters:[6810/20018] gen_loss 0.3866, rec_loss 0.0269, lpips_loss 0.1838, g_loss 0.0402, disc_weight 0.4000, disc_adaptive_weight 4.3648, d_loss 0.4013, logits_real -0.0412, logits_fake -0.0403,
Train Epoch: [1/10] Iters:[6820/20018] gen_loss 0.3866, rec_loss 0.0269, lpips_loss 0.1840, g_loss 0.0397, disc_weight 0.4000, disc_adaptive_weight 4.4196, d_loss 0.4013, logits_real -0.0408, logits_fake -0.0399,
Train Epoch: [1/10] Iters:[6830/20018] gen_loss 0.3779, rec_loss 0.0272, lpips_loss 0.1838, g_loss 0.0391, disc_weight 0.4000, disc_adaptive_weight 4.2569, d_loss 0.4013, logits_real -0.0403, logits_fake -0.0394,
Train Epoch: [1/10] Iters:[6840/20018] gen_loss 0.3820, rec_loss 0.0271, lpips_loss 0.1842, g_loss 0.0389, disc_weight 0.4000, disc_adaptive_weight 4.3810, d_loss 0.4013, logits_real -0.0400, logits_fake -0.0390,
Train Epoch: [1/10] Iters:[6850/20018] gen_loss 0.3929, rec_loss 0.0266, lpips_loss 0.1837, g_loss 0.0387, disc_weight 0.4000, disc_adaptive_weight 4.7088, d_loss 0.4013, logits_real -0.0396, logits_fake -0.0386,
Train Epoch: [1/10] Iters:[6860/20018] gen_loss 0.4045, rec_loss 0.0267, lpips_loss 0.1837, g_loss 0.0384, disc_weight 0.4000, disc_adaptive_weight 5.0208, d_loss 0.4013, logits_real -0.0394, logits_fake -0.0384,
Train Epoch: [1/10] Iters:[6870/20018] gen_loss 0.4071, rec_loss 0.0269, lpips_loss 0.1839, g_loss 0.0386, disc_weight 0.4000, disc_adaptive_weight 5.0568, d_loss 0.4014, logits_real -0.0397, logits_fake -0.0384,
Train Epoch: [1/10] Iters:[6880/20018] gen_loss 0.4262, rec_loss 0.0263, lpips_loss 0.1832, g_loss 0.0391, disc_weight 0.4000, disc_adaptive_weight 5.5210, d_loss 0.4014, logits_real -0.0401, logits_fake -0.0387,
Train Epoch: [1/10] Iters:[6890/20018] gen_loss 0.4228, rec_loss 0.0260, lpips_loss 0.1829, g_loss 0.0393, disc_weight 0.4000, disc_adaptive_weight 5.4236, d_loss 0.4013, logits_real -0.0401, logits_fake -0.0390,
Train Epoch: [1/10] Iters:[6900/20018] gen_loss 0.4237, rec_loss 0.0266, lpips_loss 0.1822, g_loss 0.0394, disc_weight 0.4000, disc_adaptive_weight 5.4277, d_loss 0.4013, logits_real -0.0404, logits_fake -0.0392,
Train Epoch: [1/10] Iters:[6910/20018] gen_loss 0.4210, rec_loss 0.0263, lpips_loss 0.1815, g_loss 0.0395, disc_weight 0.4000, disc_adaptive_weight 5.3911, d_loss 0.4013, logits_real -0.0404, logits_fake -0.0393,
Train Epoch: [1/10] Iters:[6920/20018] gen_loss 0.4213, rec_loss 0.0259, lpips_loss 0.1820, g_loss 0.0391, disc_weight 0.4000, disc_adaptive_weight 5.4404, d_loss 0.4013, logits_real -0.0400, logits_fake -0.0390,
Train Epoch: [1/10] Iters:[6930/20018] gen_loss 0.4116, rec_loss 0.0270, lpips_loss 0.1833, g_loss 0.0385, disc_weight 0.4000, disc_adaptive_weight 5.2137, d_loss 0.4012, logits_real -0.0394, logits_fake -0.0386,
Train Epoch: [1/10] Iters:[6940/20018] gen_loss 0.4017, rec_loss 0.0270, lpips_loss 0.1841, g_loss 0.0381, disc_weight 0.4000, disc_adaptive_weight 4.9795, d_loss 0.4013, logits_real -0.0391, logits_fake -0.0383,
Train Epoch: [1/10] Iters:[6950/20018] gen_loss 0.3938, rec_loss 0.0268, lpips_loss 0.1851, g_loss 0.0376, disc_weight 0.4000, disc_adaptive_weight 4.8353, d_loss 0.4012, logits_real -0.0385, logits_fake -0.0378,
Train Epoch: [1/10] Iters:[6960/20018] gen_loss 0.3905, rec_loss 0.0270, lpips_loss 0.1856, g_loss 0.0371, disc_weight 0.4000, disc_adaptive_weight 4.7870, d_loss 0.4012, logits_real -0.0381, logits_fake -0.0373,
Train Epoch: [1/10] Iters:[6970/20018] gen_loss 0.3944, rec_loss 0.0271, lpips_loss 0.1847, g_loss 0.0368, disc_weight 0.4000, disc_adaptive_weight 4.9659, d_loss 0.4012, logits_real -0.0377, logits_fake -0.0369,
Train Epoch: [1/10] Iters:[6980/20018] gen_loss 0.3960, rec_loss 0.0264, lpips_loss 0.1839, g_loss 0.0367, disc_weight 0.4000, disc_adaptive_weight 5.0773, d_loss 0.4013, logits_real -0.0376, logits_fake -0.0367,
Train Epoch: [1/10] Iters:[6990/20018] gen_loss 0.4050, rec_loss 0.0266, lpips_loss 0.1832, g_loss 0.0365, disc_weight 0.4000, disc_adaptive_weight 5.3516, d_loss 0.4013, logits_real -0.0375, logits_fake -0.0365,
Train Epoch: [1/10] Iters:[7000/20018] gen_loss 0.4100, rec_loss 0.0269, lpips_loss 0.1842, g_loss 0.0363, disc_weight 0.4000, disc_adaptive_weight 5.4823, d_loss 0.4013, logits_real -0.0373, logits_fake -0.0364,
Train Epoch: [1/10] Iters:[7010/20018] gen_loss 0.4116, rec_loss 0.0270, lpips_loss 0.1841, g_loss 0.0363, disc_weight 0.4000, disc_adaptive_weight 5.5346, d_loss 0.4013, logits_real -0.0372, logits_fake -0.0362,
Train Epoch: [1/10] Iters:[7020/20018] gen_loss 0.4076, rec_loss 0.0275, lpips_loss 0.1856, g_loss 0.0364, disc_weight 0.4000, disc_adaptive_weight 5.3531, d_loss 0.4013, logits_real -0.0373, logits_fake -0.0364,
Train Epoch: [1/10] Iters:[7030/20018] gen_loss 0.4149, rec_loss 0.0281, lpips_loss 0.1854, g_loss 0.0367, disc_weight 0.4000, disc_adaptive_weight 5.4948, d_loss 0.4013, logits_real -0.0376, logits_fake -0.0367,
Train Epoch: [1/10] Iters:[7040/20018] gen_loss 0.4214, rec_loss 0.0286, lpips_loss 0.1857, g_loss 0.0369, disc_weight 0.4000, disc_adaptive_weight 5.6232, d_loss 0.4013, logits_real -0.0377, logits_fake -0.0369,
Train Epoch: [1/10] Iters:[7050/20018] gen_loss 0.4131, rec_loss 0.0280, lpips_loss 0.1841, g_loss 0.0372, disc_weight 0.4000, disc_adaptive_weight 5.3983, d_loss 0.4013, logits_real -0.0380, logits_fake -0.0372,
Train Epoch: [1/10] Iters:[7060/20018] gen_loss 0.4061, rec_loss 0.0278, lpips_loss 0.1836, g_loss 0.0374, disc_weight 0.4000, disc_adaptive_weight 5.2028, d_loss 0.4012, logits_real -0.0380, logits_fake -0.0374,
Train Epoch: [1/10] Iters:[7070/20018] gen_loss 0.4048, rec_loss 0.0276, lpips_loss 0.1820, g_loss 0.0374, disc_weight 0.4000, disc_adaptive_weight 5.2118, d_loss 0.4012, logits_real -0.0379, logits_fake -0.0373,
Train Epoch: [1/10] Iters:[7080/20018] gen_loss 0.3942, rec_loss 0.0273, lpips_loss 0.1823, g_loss 0.0376, disc_weight 0.4000, disc_adaptive_weight 4.9021, d_loss 0.4013, logits_real -0.0380, logits_fake -0.0372,
Train Epoch: [1/10] Iters:[7090/20018] gen_loss 0.3915, rec_loss 0.0271, lpips_loss 0.1820, g_loss 0.0373, disc_weight 0.4000, disc_adaptive_weight 4.8827, d_loss 0.4012, logits_real -0.0379, logits_fake -0.0371,
Train Epoch: [1/10] Iters:[7100/20018] gen_loss 0.3926, rec_loss 0.0278, lpips_loss 0.1828, g_loss 0.0371, disc_weight 0.4000, disc_adaptive_weight 4.8959, d_loss 0.4012, logits_real -0.0378, logits_fake -0.0371,
